Word,Pron
ANDRENAS,NULL
ANDRES,"An""dREs"
ANDREWS,"""an.druz"
ANDROFSKI,NULL
androgyne,"""andr@%dZaIn"
androgynes,"""andr@%dZaInz"
ANDROMACHE,"an.dr""A.m@.ki"
ANDRUS,"""andr@s"
ANDRUSES,"""and.r%uz@z"
ANEMATED,NULL
'neath,NULL
're,NULL
'shun,NULL
'tis,"t""Iz"
'twas,"tw""@z"
'tween,NULL
'twere,NULL
'twill,NULL
'twixt,NULL
'twould,NULL
'un,NULL
've,NULL
a's,"""ez"
AA,"""AA"
AAAWWW,NULL
AAs,"""AAz"
abaci,"""ab@%saI"
abacuses,"""a.b@.k@s.@z"
abaft,"@""baft"
abandons,"@.b""an.4@nz"
ABARINGE,NULL
abased,"@.b""est"
abases,"@.b""es.@z"
abashed,"@.b""aSt"
abashes,"@.b""aS.@z"
abashing,"@.b""aS.IN"
abasing,"@.b""es.IN"
abatement,"@.b""et.m@nt"
abates,"@.b""ets"
abating,"@.b""e4.IN"
abattoir,"""a.b@.tw%Ar"
abattoirs,"""a.b@.tw%Arz"
ABATUNO,NULL
ABBAS,"""a.b@s"
ABBAS'S,"""ab@%Es@z"
abbe,"a.b""e"
ABBERATIONS,"""abi.r%aS@nz"
abbes,"a""bez"
abbesses,"""a.b@s.@z"
abbeys,"""a.biz"
ZHITZHAKLI,NULL
ZHOK,NULL
ZIEGFELD,"""zIgfEld"
ZIFFREN,"z""If.r%En"
ziggurat,"z""Ig@`%at"
ziggurats,"z""Ig@`%ats"
ZIGGY,"z""I.gi"
zigzagged,"z""Ig.zagd"
zigzags,"z""Ig.zagz"
Zimbabwean,"zIm.b""Ab.wi@n"
Zimbabweans,"zIm.b""Ab.wi@nz"
ZIMMERMAN,"z""I.m@`.m@n"
ZINMAN,"z""Inm@n"
zinnia,"z""I.ni@"
zinnias,"z""I.ni@z"
Zionism,"z""aI@n.I.zm="
Zionist,"z""aI@n.Ist"
Zionists,"z""aI@n.Ists"
zippers,"z""Ip.@`z"
zippier,"z""Ip.i@`"
zippiest,"z""Ip.i.Ist"
zipping,"z""Ip.IN"
zips,"z""Ips"
ZIRALDO,NULL
zircon,"z""3`.kAn"
zircons,"z""3`.kAnz"
zither,"z""I.D@`"
zithers,"z""I.D@`z"
zizz,NULL
zloty,"zl""O.4i"
zlotys,"zl""O.4iz"
zodiacs,"z""o.4i.aks"
ZOE,"z""o.i"
zonal,"z""on.l="
zonked,"z""ANkt"
ZOOEY,NULL
zoological,"zu@.l""A.dZI.kl="
zoologists,"zu.""A.l@.dZIsts"
zoomed,"z""umd"
ZOOOOP,NULL
zoophyte,"""zo@%faIt"
zoophytes,"""zo@%faIts"
zoos,"z""uz"
ZORRILLAS,NULL
ZOTE,NULL
Zouave,"zu""Av"
Zouaves,"zu""Avz"
ZOUNDS,"z""aUndz"
ZU,NULL
ZUBKOVSKAYA,NULL
zucchinis,"zu.k""i.niz"
ZURCHER,"z""@`k@`"
ZWEI,NULL
ZWORYKIN,"""zwOr@kIn"
WOLFF,"w""Ulf"
WOLFF'S,"w""Ulf.%Efs"
wolfhounds,"w""Ulf.h%aUndz"
wolfing,"w""Ulf.IN"
wolfish,"w""Ulf.IS"
WOLFISHLY,"w""Ulf.IS.li"
wolfram,"w""Ul.fram"
wolfs,"w""Ulfs"
wolfsbane,"""wUlfs%ben"
WOLLMAN,"w""Alm@n"
WOLPE,"w""olpi"
WOLPE'S,NULL
WOLSTENHOLME,"w""olst@nholm"
WOLVERTON,"w""Ul.v@`.4@n"
womanized,"w""U.m@n.aIzd"
womanizers,"w""U.m@n.%aIz.@`z"
womanizes,"w""U.m@n.%aIz.@z"
womanizing,"w""U.m@n.%aIz.IN"
womanlike,"w""U.m@n.l%aIk"
womanliness,"w""U.m@n.li.n@s"
wombats,"w""Am.bats"
wombs,"w""umz"
wonderlands,"w""Vn.4@`.l%andz"
wonderment,"w""Vn.4@`.m@nt"
WONDUH,"w""@n.d%@"
wonkier,"w""AN.ki@`"
wonkiest,"""wANkiIst"
wonky,"w""AN.ki"
wonted,"w""On4.@d"
WOODBERRY,"w""Udb%Eri"
woodblocks,"w""Ud.bl%Aks"
WOODBURY'S,"w""Ud.b%E.riz"
WOODCOCK'S,"w""Ud.k%Aks"
woodcocks,"w""Ud.k%Aks"
woodcrafts,"w""Ud.kr%afts"
woodcuts,"w""Ud.k%Vts"
woodenheaded,"""wUdn=.%hEdId"
woodenly,"w""Ud.n=.li"
woodenness,"w""Ud.n=.n@s"
woodier,"w""U4.i.@`"
woodiest,"w""U4.i.Ist"
WOODIN,"w""Ud%In"
woodlands,"w""Ud.l@ndz"
woodlice,"w""Ud.l%aIs"
woodlouse,"w""Ud.l%aUs"
WOODMAN'S,"w""Ud.m@nz"
woodmen,"w""Ud.m@n"
woodpeckers,"w""Ud.p%Ek.@`z"
WOODRUFF,"w""U.drVf"
WOODRUFF'S,"w""Ud.r%@f%Efs"
WOODS'S,"w""Ud.%Es.@z"
woodsheds,"w""Ud.S%Edz"
woodsmen,"w""Udzm@n"
WOODSMOKE,"w""Ud.sm%ok"
WOODWARDS,"w""Ud.w%Ordz"
woodworms,"w""Ud.w%3`mz"
wooer,"w""u@`"
wooers,"w""u@`z"
woofer,"w""Uf.@`"
woofers,"w""Uf.@`z"
wooing,"w""u.IN"
woolgather,"w""Ul.g%a.D@`"
woolgathered,"w""Ul.g%a.D@`d"
woolgathering,"w""Ul.g%a.D@`.IN"
woolgathers,"w""Ul.g%a.D@`z"
WOOLLCOTT,"w""UlkAt"
woollens,"w""Ul.@nz"
woollier,"w""Ul.i@`"
woollies,"w""Ul.iz"
woolliest,"w""Ul.i.Ist"
woolliness,"w""Ul.i.n@s"
wools,"w""Ulz"
woolsack,"w""Ul.s%ak"
WOOMERA,"w""U.m@`.r@"
WOONASQUATUCKET,NULL
WOOOOOSH,NULL
woos,"w""uz"
woozier,"w""u.zi.@`"
wooziest,"""wuziIst"
wop,"""wAp"
wops,"w""Aps"
WORCESTERSHIRE,"w""U.st@`.SaIr"
wordbook,"w""3`d.b%Uk"
wordbooks,"w""3`d.b%Uks"
wordier,"w""3`4.i@`"
wordiest,"w""3`4.i.Ist"
wordily,"w""3`4.@.li"
wordiness,"w""3`4.i.n@s"
wordlessly,"w""3`d.l@s.li"
wordlessness,"""w3`dlIsnEs"
workableness,"w""3`k.@.bl=.n@s"
workaday,"w""3`k.@.d%e"
workbags,"w""3`k.b%agz"
workbaskets,"w""3`k.b%a.sk@ts"
workbenches,"w""3`k.b%EntS.@z"
workbooks,"w""3`k.b%Uks"
workbox,"w""3`k.b%Aks"
workboxes,"w""3`k.b%Aks.@z"
workdays,"w""3`k.d%ez"
workhorses,"w""3`k.h%Ors.@z"
workhouses,"w""3`k.h%aUz.@z"
WORKIN,"w""Or.k%In"
workmanlike,"w""3`k.m@n.l%aIk"
workrooms,"w""3`k.r%umz"
worktables,"w""3`k.t%e.bl=z"
worktop,"""w3`ktAp"
worktops,"""w3`ktAps"
WORLDERS,"w""3`ld.@`z"
worldlier,"w""3`ld.li@`"
worldliest,"w""3`ld.li.Ist"
worldliness,"w""3`ld.li.n@s"
wormiest,"w""3`m.i.Ist"
worming,"w""3`m.IN"
WORRELL,"w""@`r@l"
WORRYIN,NULL
worryingly,"w""3`.ri.IN.li"
worsening,"w""3`s.n=.IN"
worshipper,"w""3`.SIp.@`"
worships,"w""3`.SIps"
worsting,"w""3`st.IN"
worsts,"w""3`sts"
worthier,"w""3`D.i@`"
worthies,"w""3`D.iz"
worthily,"w""3`D.@.li"
worthiness,"w""3`D.i.n@s"
worthlessly,"w""3`T.l@s.li"
wotcher,"""wAt.%SEr"
WOULDA,NULL
woulds,"""wUdz"
wouldst,"w""Udst"
WOZZEK,NULL
WRAC,NULL
WRACKED,"r""akt"
WRACKING,"r""ak.IN"
WRACs,NULL
WRAGGE,NULL
wraiths,"r""eTs"
wranglers,"r""aN.gl@`z"
wrangles,"r""aN.gl=z"
wrangling,"r""aN.glIN"
WRAPPIN,"r""ap.p%In"
wrappings,"r""ap.INz"
wrathfully,"r""aT.fl=.i"
WRATTEN,NULL
wreaked,"r""ikt"
wreaking,"r""ik.IN"
wreaks,"r""iks"
wreathes,"r""iDz"
wreathing,"r""iT.IN"
wreckers,"r""Ek.@`z"
wrecks,"r""Eks"
wrens,"r""Enz"
wrested,"r""Est.@d"
wresting,"r""Est.IN"
wrestled,"r""E.sl=d"
wrestlers,"r""Es.l@`z"
wrests,"r""Ests"
wretchedly,"r""EtS.@d.li"
wretches,"r""EtS.@z"
wrier,"""raI@`"
wriest,"""raIIst"
wriggled,"r""I.gl=d"
wriggler,"r""I.gl=.@`"
wrigglers,"r""I.gl=.@`z"
wriggles,"r""I.gl=z"
wriggling,"r""I.gl=.IN"
WRIGHT'S,"r""aIts"
wrights,"r""aIts"
wringers,"r""IN.@`z"
wringing,"r""IN.IN"
wrinklier,"r""IN.kl=.i@`"
wrinkliest,"r""IN.kl=.i.Ist"
wrinkling,"r""IN.kl=.IN"
wristbands,"r""Ist.b%andz"
wristier,"""risti@`"
wristiest,"""ristiIst"
wristlet,"r""Ist.l@t"
wristlets,"r""Ist.l@ts"
wristwatches,"r""Ist.w%AtS.@z"
wristy,"""risti"
writhes,"r""aIDz"
wrongdoers,"r""ON.d%u@`z"
wrongdoings,"r""ON.d%u.INz"
wrongfully,"r""ON.fl=.i"
wrongheaded,"r%ON.h""E4.@d"
wrongheadedly,"r%ON.h""E4.@d.li"
wrongheadedness,"r%ON.h""E4.@d.n@s"
wronging,"r""ON.IN"
wroth,"r""OT"
wrung,"r""VN"
WU,"w""u"
WUH,NULL
wurst,"""w3`st"
wursts,"""w3`sts"
WUS,NULL
WUSTMAN,NULL
WYATT,"w""aI@t"
WYCKOFF,"w""IkOf"
WYCLIFFE,NULL
WYCOFF,"w""IkOf"
WYCOFF'S,NULL
WYCOMBE,"w""I.k@m"
WYLIE,"w""aI.li"
WYMAN,"w""aI.m@n"
WYN,"w""In"
WYNN,"w""In"
WYNNE,"w""In"
WYNSTON,NULL
wyvern,"w""aI.v@`n"
wyverns,"w""aI.v@`nz"
XENIA,"""zini@"
xeroxed,"z""I.rAkst"
xeroxes,"z""I.rAks.@z"
xeroxing,"z""I.rAks.IN"
Xmas,"""krism@s"
XYDIS,NULL
XYLEM,"""zaIlEm"
y,"w""aI"
Y'ALL,j%Ol
Y'KNOW,"j@.n""o"
Y'R,NULL
Y'RE,NULL
y's,"w""aIz"
YA,"""j@"
yachted,"j""At.@d"
YACHTEL,NULL
YACHTELS,"j""At%Elz"
yachtswoman,"""jAts%wUm@n"
yachtswomen,"j""Ats.w%Im@n"
YADDO,NULL
yah,"j""A"
yahoos,"j@.h""uz"
YAHWE,NULL
YAKIMA,"j""a.kI.m@"
yakked,"j""akt"
yakking,"j""ak.IN"
YAKOV,"j""Ak%Ov"
YALAGALOO,NULL
YALIES,NULL
YAMABE,"j""am.%eb"
YAMATA,"j""am%At@"
yammered,"j""a.m@`d"
yammering,"j""a.m@`.IN"
yammers,"j""a.m@`z"
yams,"j""amz"
yang,"j""aN"
YANKEEFICATION,NULL
YANKTON,"""jaNkt@n"
yapped,"j""apt"
yaps,"j""aps"
YAQUI,NULL
yardages,"j""Ar4.IdZ.@z"
yardarm,"j""Ard.%Arm"
yardarms,"j""Ard.%Armz"
yardsticks,"j""Ard.st%Iks"
YARDUMIAN,NULL
yarned,"j""Arnd"
yarning,"j""Arn.IN"
yashmak,NULL
yashmaks,NULL
YASSUHS,NULL
yaw,"j""O"
yawed,"j""Od"
yawing,"j""O.IN"
yawls,"j""Olz"
yawned,"j""Ond"
yawns,"j""Onz"
yd,NULL
YE'RE,NULL
yearbooks,"j""Ir.b%Uks"
YEARD,NULL
yearlings,"j""3`.lINz"
yearns,"j""3`nz"
yeas,"j""ez"
yeastier,"j""ist.i.@`"
yeastiest,"""jistiIst"
YEDISAN,NULL
YEHHH,NULL
YEHUDI,"j@""hudi"
YELLERISH,"j""El.r%IS"
YELLIN,"j""El%In"
yellower,"j""E.lo@`"
yellowest,"j""E.lo.Ist"
yellowness,"j""E.lo.n@s"
yellows,"j""E.loz"
yells,"j""Elz"
Yemeni,"j""E.m@n.i"
Yemenis,"j""E.m@n.iz"
YENI,NULL
yenned,"""jEnd"
yenning,"""jEnIN"
yens,"j""Enz"
yeomanry,"j""o.m@n.ri"
yeomen,"j""o.m@n"
yeses,"j""Es@z"
YESIREE,NULL
yesterdays,"j""E.st@`.d%ez"
yetis,"j""E.4iz"
yew,"j""u"
yews,"j""uz"
YFF,NULL
yid,"j""Id"
yids,"j""Idz"
yieldingly,"j""ild.IN.li"
YINGER,"j""IN@`"
yob,"j""Ab"
yobbo,"j""A.bo"
yobbos,"j""A.boz"
yobs,"j""Abz"
yodelled,"j""o.4l=d"
yodeller,"j""o.4l=.@`"
yodellers,"j""o.4l=.@`z"
yodelling,"j""o.4l=.IN"
yodels,"j""o.4l=z"
yoghurt,"j""o.g@`t"
yoghurts,"j""o.g@`ts"
yogi,"j""o.gi"
yogis,"j""o.giz"
YOK,NULL
yoked,"j""okt"
yokes,"j""oks"
yoking,"j""ok.IN"
YOKNAPATAWPHA,NULL
YOKOSUKA,"%jok@""suk@"
YOKUSUKA,NULL
YOKUTS,"""jok@ts"
yolks,"j""oks"
YONEDA,"""jAn%Ed@"
YONGST,NULL
yonks,"""jANks"
YOOEE,NULL
YOORICK,"j""u.r%Ik"
YORI,NULL
yorker,"j""Ork.@`"
yorkers,"j""Ork.@`z"
YOSHIMOTO'S,NULL
YOU'S,NULL
YOU'UNS,NULL
YOUNGUH,NULL
youthfully,"j""uT.fl=.i"
youthfulness,"j""uT.fl=.n@s"
YOW,"j""aU"
yowled,"j""aUld"
yowling,"j""aUl.IN"
yowls,"j""aUlz"
YR,NULL
YS,NULL
YTIME,NULL
YUBA,"j""ub@"
yuccas,"j""V.k@z"
Yugoslavians,"j%u.go.sl""A.vi@nz"
Yugoslavs,"j""u.go.sl%Avz"
YUH,NULL
YUJOBO,NULL
YUKI,NULL
yule,"j""ul"
YURI,"j""U.ri"
YUROCHKA,NULL
YUSE,NULL
YVETTE,"I.v""Et"
YYYY,NULL
ZABEL,"z""eb@l"
ZACHRISSON,NULL
ZACHRISSON'S,"z""ak.r%Iso%Enz"
ZADEL,NULL
Zairean,"zaI.""Ir.i@n"
Zaireans,"zaI.""Ir.i@nz"
Zambian,"z""am.bi@n"
Zambians,"z""am.bi@nz"
ZAMIATIN'S,NULL
zanier,"z""e.ni@`"
zanies,"""zeniz"
zaniest,"z""e.ni.Ist"
ZANZIBAR,"z""an.z@.bAr"
ZAPALA,"""zap%AlA"
ZAPOROGIAN,"z""ap%Oro.dZ%iAn"
zapped,"z""apt"
zapping,"z""ap.IN"
zaps,"z""aps"
ZARA,"z""ar@"
ZAROUBIN,NULL
zealots,"z""E.l@ts"
zealousness,"z""E.l@s.n@s"
ZEBEK,NULL
zebras,"z""i.br@z"
zebu,"z""i.bu"
zebus,"z""i.buz"
zed,"z""Ed"
zeds,"z""Edz"
zee,"z""i"
zees,"z""iz"
ZEFFIRELLI,"z%E.f@`.r""E.li"
ZEISING,"z""iz%IN"
ZEISS,"z""aIs"
ZEME,NULL
ZEMLINSKY,NULL
ZEMLYA,NULL
zenana,"zE""nAn@"
zenanas,"zE""nAn@z"
ZENDO,"""zEndo"
zenithal,"z""i.nIT.@l"
zeniths,"z""i.nITs"
ZENNIST,"z""En.n%Ist"
zephyrs,"z""E.f@`z"
zeppelins,"z""E.p@.lInz"
ZHITKOV,NULL
WERTHER,"w""@`D@`"
WES,"""wEs"
WESKER,"w""Esk@`"
Wesleyans,"w""Ez.li@nz"
WESSON,"w""E.sn="
WESTBROOK,"w""Est.brUk"
westernized,"w""Est.@`n.aIzd"
