Word,WordNet,MacMillan
abolitionist,1,1
abolitionists,NA,NA
abomasum,1,NA
abominable,2,1
abominably,2,NA
abominate,1,1
abomination,3,1
abominations,NA,NA
aboriginal,3,1
aboriginally,NA,NA
aboriginals,NA,NA
aborigine,2,NA
aborigines,NA,NA
aborning,NA,NA
abort,4,2
aborted,NA,NA
aborting,NA,NA
abortion,2,1
abortionist,1,1
abortionists,NA,NA
abortions,NA,NA
abortive,1,1
abortively,1,NA
aborts,NA,NA
abound,2,2
abounded,NA,NA
abounding,1,NA
abounds,NA,NA
about,8,NA
abouts,NA,NA
above,4,NA
aboveboard,2,NA
aboveground,1,NA
abovementioned,NA,NA
abracadabra,1,NA
abrade,2,1
abraded,NA,NA
abraham,1,NA
abraid,NA,NA
abrasion,3,2
abrasions,NA,NA
abrasive,3,2
abrasiveness,2,NA
abrasives,NA,NA
abraxas,NA,NA
abreaction,1,NA
abreast,2,NA
abridge,2,NA
abridged,1,1
abridgement,1,NA
abridging,NA,NA
abroad,4,2
abrogate,1,1
abrogated,NA,NA
abrogating,NA,NA
abrupt,4,2
abruption,1,NA
abruptly,1,NA
abruptness,3,NA
abs,1,NA
abscam,NA,NA
abscess,1,1
abscessed,1,NA
abscesses,NA,NA
abscond,1,2
absconded,NA,NA
absconder,1,NA
absconders,NA,NA
absconding,NA,NA
abseiling,NA,NA
absence,4,2
absences,NA,NA
absent,4,4
absentee,1,1
absenteeism,1,1
absentees,NA,NA
absentia,NA,NA
absenting,NA,NA
absentminded,1,NA
absentmindedness,1,NA
absinthe,2,1
absinthes,NA,NA
absinthium,NA,NA
absit,NA,NA
absolute,6,4
absolutely,2,2
absoluteness,2,NA
absolutes,NA,NA
absolution,2,1
absolutions,NA,NA
absolve,2,2
absolved,1,NA
absolver,1,NA
absolves,NA,NA
absolving,NA,NA
absorb,9,7
absorbed,2,1
absorbent,2,1
absorber,1,NA
absorbers,NA,NA
absorbing,1,1
absorbs,NA,NA
absorbtion,NA,NA
absorption,6,3
absorptions,NA,NA
abstain,2,2
abstained,NA,NA
abstainers,NA,NA
abstaining,NA,NA
abstains,NA,NA
abstention,1,2
abstentions,NA,NA
abstinence,2,1
abstinent,2,NA
abstract,9,7
abstracted,1,1
abstracting,NA,NA
abstraction,6,2
abstractionist,2,NA
abstractions,NA,NA
abstractly,1,NA
abstracts,NA,NA
abstruse,1,1
absurd,3,3
absurdist,NA,NA
absurdities,NA,NA
absurdity,2,NA
absurdly,1,1
abt,NA,NA
abu,NA,NA
abulia,1,NA
abundance,3,1
abundant,1,1
abundantly,1,1
abuse,7,6
abused,2,NA
abuser,1,NA
abusers,NA,NA
abuses,NA,NA
abusing,NA,NA
abusive,2,2
abusiveness,NA,NA
abut,1,1
abutment,2,NA
abutments,NA,NA
abuts,NA,NA
abutting,NA,NA
abuzz,1,NA
abysmal,2,1
abysmally,1,NA
abyss,1,2
abyssal,2,NA
abysses,NA,NA
abyssinia,1,NA
abyssinian,1,NA
abyssus,NA,NA
ac,2,NA
acacia,1,1
academe,1,1
academes,NA,NA
academia,1,1
academic,4,4
academically,1,NA
academician,3,1
academics,NA,NA
academies,NA,NA
academy,4,2
acadia,1,NA
acanthus,1,NA
acapulco,1,NA
acc,1,NA
accademia,NA,NA
accadian,NA,NA
accede,3,2
acceded,NA,NA
accelerant,NA,NA
accelerate,2,2
accelerated,1,NA
accelerates,NA,NA
accelerating,NA,NA
acceleration,3,3
accelerator,4,2
accelerators,NA,NA
accent,7,5
accented,2,NA
accents,NA,NA
accentuate,2,1
accentuated,NA,NA
accentuates,NA,NA
accentuating,NA,NA
accept,11,7
acceptable,4,2
acceptance,7,4
acceptances,NA,NA
acceptant,1,NA
accepted,1,1
accepting,1,NA
accepts,NA,NA
access,8,4
accessed,NA,NA
accesses,NA,NA
accessibility,2,NA
accessible,4,4
accessing,NA,NA
accession,7,3
accessories,NA,NA
accessorise,NA,NA
accessorize,NA,1
accessorized,NA,NA
accessorizing,NA,NA
accessory,5,3
accident,2,2
accidental,3,1
accidentally,3,2
accidentals,NA,NA
accidently,NA,NA
accidents,NA,NA
acclaim,3,2
acclaimed,NA,1
acclaims,NA,NA
acclamation,1,1
acclimate,1,1
acclimated,NA,NA
acclimates,NA,NA
acclimating,NA,NA
acclimatization,1,NA
acclimatize,1,1
acclimatized,NA,NA
accolade,1,1
accolades,NA,NA
accommodate,7,2
accommodated,NA,NA
accommodates,NA,NA
accommodating,2,1
accommodation,6,2
accommodations,NA,2
accommodative,3,NA
accomodate,NA,NA
accompanied,2,NA
accompanier,NA,NA
accompanies,NA,NA
accompaniment,4,3
accompanist,1,1
accompanists,NA,NA
accompany,4,4
accompanying,1,NA
accompli,NA,NA
accomplice,1,1
accomplices,NA,NA
accomplish,2,1
accomplished,3,1
accomplishes,NA,NA
accomplishing,NA,NA
accomplishment,2,2
accomplishments,NA,NA
accord,6,2
accordable,NA,NA
accordance,2,NA
accorded,NA,NA
according,2,NA
accordingly,2,2
accordion,1,1
accordions,NA,NA
accords,NA,NA
accost,2,1
accosted,NA,NA
accosting,NA,NA
accosts,NA,NA
account,14,12
accountability,1,1
accountable,1,1
accountancy,1,1
accountant,1,1
accountants,NA,NA
accounted,NA,NA
accounting,5,1
accounts,NA,NA
accoutered,1,NA
accoutre,1,NA
accoutred,1,NA
accoutrement,1,NA
accoutrements,NA,NA
accra,1,NA
accreditation,1,1
accredited,1,2
accrediting,NA,NA
accrete,2,NA
accrual,1,1
accrue,2,2
accrued,1,NA
accrues,NA,NA
accruing,NA,NA
accumulate,2,1
accumulated,1,NA
accumulates,NA,NA
accumulating,NA,NA
accumulation,4,2
accumulations,NA,NA
accumulative,2,1
accumulator,3,NA
accuracy,2,2
accurate,2,3
accurately,2,NA
accursed,1,2
accusation,2,1
accusations,NA,NA
accusatory,1,1
accuse,2,1
accused,1,NA
accuser,1,NA
accusers,NA,NA
accuses,NA,NA
accusing,1,NA
accustom,1,NA
accustomed,1,1
ace,11,6
aced,NA,NA
acentric,2,NA
acerbic,2,1
aces,NA,NA
acetabulum,1,NA
acetaminophen,1,1
acetate,2,2
acetates,NA,NA
acetic,1,NA
acetone,1,1
acetyl,1,NA
acetylcholine,1,NA
acetylene,1,1
acetylsalicylic,NA,NA
ach,NA,NA
achar,NA,NA
ache,4,6
ached,NA,NA
acher,NA,NA
acheron,1,NA
aches,NA,NA
achievable,1,NA
achieve,1,1
achieved,NA,NA
achievement,1,1
achievements,NA,NA
achiever,1,NA
achievers,NA,NA
achieves,NA,NA
achieving,NA,NA
achilles,1,NA
achiness,NA,NA
aching,2,NA
achingly,NA,NA
achondroplasia,1,NA
achoo,NA,NA
achy,1,1
acid,5,5
acidemia,1,NA
acidic,2,2
acidity,3,2
acidizing,NA,NA
acidophilus,1,NA
acidosis,1,NA
acidotic,1,NA
acids,NA,NA
acing,NA,NA
ack,NA,NA
ackee,1,1
acker,NA,NA
acknowledge,6,3
acknowledged,2,NA
acknowledgement,2,NA
acknowledgements,NA,NA
acknowledges,NA,NA
acknowledging,NA,NA
acknowledgment,3,3
acknowledgments,NA,NA
aclu,NA,NA
acme,2,NA
acne,1,1
acnes,NA,NA
acolyte,1,2
acolytes,NA,NA
acoma,NA,NA
aconitum,1,NA
acorn,1,1
acorns,NA,NA
acoustic,2,2
acoustical,1,NA
acoustically,1,NA
acoustics,1,2
acquaint,3,1
acquaintance,3,2
acquaintances,NA,NA
acquaintanceship,1,NA
acquainted,1,NA
acquainting,NA,NA
acquiesce,1,1
acquiesced,NA,NA
acquiescence,2,NA
acquiescent,1,1
acquiescing,NA,NA
acquire,7,5
acquired,1,NA
acquirer,4,NA
acquires,NA,NA
acquiring,1,NA
acquisition,4,4
acquisitions,NA,1
acquisitive,1,1
acquisitiveness,1,NA
acquit,2,NA
acquittal,1,1
acquittals,NA,NA
acquitted,1,NA
acquitting,NA,NA
acre,3,1
acreage,1,1
acres,1,NA
acrid,2,2
acrimonious,1,1
acrimony,1,1
acrobat,1,1
acrobatic,1,1
acrobatics,2,2
acrobats,NA,NA
acromegalia,1,NA
acromion,1,NA
acronym,1,1
acronyms,NA,NA
acrophobia,1,NA
acropolis,1,NA
across,2,NA
acrylic,4,2
acrylics,NA,NA
act,15,10
acta,NA,NA
acted,NA,NA
actg,NA,NA
actin,1,NA
acting,2,2
actings,NA,NA
actinic,1,NA
action,12,7
actionable,1,1
actioner,NA,NA
actions,NA,NA
activate,5,1
activated,4,NA
activates,NA,NA
activating,2,NA
activation,3,NA
activator,1,NA
active,17,7
actively,1,3
actives,NA,NA
activism,1,NA
activist,2,1
activists,NA,NA
activities,NA,NA
activity,6,4
acton,NA,NA
actor,2,1
actors,NA,NA
actory,NA,NA
actress,1,1
actresses,NA,NA
acts,1,NA
actu,NA,NA
actual,5,3
actualisation,1,NA
actualised,NA,NA
actualities,NA,NA
actuality,1,2
actualization,1,NA
actualize,2,NA
actually,4,4
actuals,NA,NA
actuarial,1,1
actuarially,NA,NA
actuaries,NA,NA
actuary,1,1
actuate,2,1
actuated,1,NA
actuating,1,NA
actuation,1,NA
actuator,1,NA
actuators,NA,NA
acuity,2,1
acumen,2,1
acupressure,1,1
acupuncture,1,1
acupuncturist,NA,NA
acupuncturists,NA,NA
acute,7,3
acutely,4,1
acuteness,3,NA
acyclovir,1,NA
ad,2,1
adage,1,1
adages,NA,NA
adagio,4,NA
adam,3,NA
adamant,2,1
adamantine,3,NA
adamantly,1,NA
adamas,NA,NA
adams,4,NA
adance,NA,NA
adapt,2,2
adaptability,1,NA
adaptable,1,1
adaptation,3,3
adaptations,NA,NA
adapted,1,1
adapter,2,1
adapting,NA,NA
adaption,1,1
adaptive,1,2
adaptor,1,NA
adaptors,NA,NA
adapts,NA,NA
adar,1,NA
adc,NA,NA
add,7,4
added,NA,2
addenda,NA,NA
addendum,1,1
addendums,NA,NA
adder,3,2
adders,NA,NA
addict,3,1
addicted,1,1
addicting,NA,NA
addiction,3,2
addictions,NA,NA
addictive,1,1
addictiveness,NA,NA
addicts,NA,NA
adding,NA,NA
addio,NA,NA
addis,NA,NA
addison,NA,NA
addition,6,NA
additional,1,1
additionally,1,1
additions,NA,NA
additive,3,NA
additives,NA,NA
addle,2,NA
addled,2,1
addlepated,1,NA
addling,NA,NA
addr,NA,NA
address,18,6
addressed,1,NA
addressee,1,1
addresser,NA,NA
addresses,NA,NA
addressing,NA,NA
adds,NA,NA
adduce,1,1
adduced,NA,NA
adductor,1,1
ade,1,NA
adelante,NA,NA
aden,1,NA
adenia,NA,NA
adenine,1,NA
adenocarcinoma,1,NA
adenoid,2,NA
adenoidal,2,2
adenoids,NA,1
adenoma,1,NA
adenopathy,1,NA
adenosine,1,NA
adept,2,1
adeptness,1,NA
adepts,NA,NA
adequacy,2,1
adequate,3,2
adequately,1,NA
adeste,NA,NA
adhere,6,1
adhered,NA,NA
adherence,2,2
adherent,2,1
adherents,NA,NA
adheres,NA,NA
adhering,NA,NA
adhesion,4,1
adhesions,NA,NA
adhesive,2,2
adhesives,NA,NA
adiabatic,1,NA
adieu,1,NA
adieus,NA,NA
adios,1,NA
adipocere,NA,NA
adipose,1,NA
adiposity,1,NA
adjacencies,NA,NA
adjacent,3,1
adjective,4,1
adjectives,NA,NA
adjoined,NA,NA
adjoining,NA,1
adjoins,NA,NA
adjoints,NA,NA
adjourn,2,1
adjourned,NA,NA
adjourning,NA,NA
adjournment,2,NA
adjourns,NA,NA
adjudge,1,1
adjudged,NA,NA
adjudicate,2,1
adjudicated,NA,NA
adjudicating,NA,NA
adjudication,1,NA
adjudicator,1,NA
adjunct,5,2
adjure,2,NA
adjust,5,2
adjustability,NA,NA
adjustable,2,1
adjusted,4,NA
adjuster,1,1
adjusters,NA,NA
adjusting,NA,NA
adjustment,5,2
adjustments,NA,NA
adjustor,1,NA
adjusts,NA,NA
adjutant,2,1
adjutants,NA,NA
adjuvant,3,NA
adm,NA,NA
admin,NA,1
administer,5,2
administered,NA,NA
administerial,NA,NA
administering,NA,NA
administers,NA,NA
administrate,1,NA
administrates,NA,NA
administration,6,3
administrations,NA,NA
administrative,1,1
administrator,3,1
administrators,NA,NA
adminstration,NA,NA
admirable,2,1
admirably,1,NA
admiral,2,1
admirals,NA,NA
admiralty,2,NA
admiration,3,1
admire,2,2
admired,1,NA
admirer,3,2
admirers,NA,NA
admires,NA,NA
admiring,NA,1
admissibility,1,NA
admissible,1,1
admission,4,5
admissions,NA,NA
admit,8,3
admits,NA,NA
admittance,2,1
admittances,NA,NA
admitted,NA,NA
admittedly,1,1
admittee,NA,NA
admittible,1,NA
admitting,NA,NA
admixture,3,1
admonish,3,2
admonished,NA,NA
admonishing,1,NA
admonishments,NA,NA
admonition,2,1
admonitions,NA,NA
adnexa,1,NA
adnexal,1,NA
ado,1,NA
adobe,2,2
adolescence,2,1
adolescences,NA,NA
adolescent,5,4
adolescents,NA,NA
adolf,NA,NA
adolph,NA,NA
adonai,NA,NA
adonis,3,NA
adopt,7,4
adoptable,1,NA
adopted,1,2
adopter,1,2
adopting,NA,NA
adoption,3,3
adoptions,NA,NA
adoptive,2,1
adopts,NA,NA
adorability,1,NA
adorable,1,1
adorableness,1,NA
adorably,1,NA
adoration,3,2
adore,1,2
adored,1,NA
adorers,NA,NA
adores,NA,NA
adoring,2,1
adoringly,1,NA
adorn,3,1
adorned,1,NA
adorning,NA,NA
adornment,2,2
adornments,NA,NA
adorns,NA,NA
adrenal,3,NA
adrenalectomy,1,NA
adrenalin,1,1
adrenaline,1,NA
adrenals,NA,NA
adrenochrome,NA,NA
adriatic,1,NA
adrift,4,3
adroit,1,1
adroitly,1,NA
adroitness,1,NA
adrop,NA,NA
ads,NA,NA
adulation,1,1
adult,4,6
adulterant,2,NA
adulterate,2,1
adulterated,1,NA
adulterating,1,NA
adulterer,1,1
adulterers,NA,NA
adulteress,1,NA
adulterize,NA,NA
adulterous,2,1
adultery,1,1
adulthood,2,1
adults,NA,NA
adust,2,NA
adv,NA,NA
advance,20,9
advanced,8,4
advancement,3,2
advancements,NA,NA
advances,NA,NA
advancing,1,1
advantage,4,2
advantaged,NA,1
advantageous,2,1
advantages,NA,NA
advent,3,NA
adventist,1,NA
adventists,NA,NA
adventure,3,1
adventurer,2,2
adventurers,NA,NA
adventures,NA,NA
adventuresome,1,NA
adventuress,1,NA
adventuring,NA,NA
adventurist,NA,NA
adventurous,1,1
adventurousness,1,NA
adverb,2,1
adverbial,2,1
adverbs,NA,NA
adversarial,NA,1
adversaries,NA,NA
adversary,1,1
adverse,2,1
adversely,1,NA
adversities,NA,NA
adversity,2,1
advert,4,1
adverted,NA,NA
advertently,1,NA
advertise,2,2
advertised,1,NA
advertisement,1,1
advertisements,NA,NA
advertiser,1,1
advertisers,NA,NA
advertises,NA,NA
advertising,2,1
adverts,NA,NA
advice,1,1
advices,NA,NA
advisable,1,1
advise,3,2
advised,2,NA
advisedly,1,1
advisee,1,NA
advisees,NA,NA
advisement,1,NA
adviser,1,1
advisers,NA,NA
advises,NA,NA
advising,NA,NA
advisor,1,NA
advisories,NA,NA
advisors,NA,NA
advisory,2,1
advocaat,NA,NA
advocacy,1,1
advocate,4,2
advocated,NA,NA
advocates,NA,NA
advocating,NA,NA
ae,NA,NA
aedes,1,NA
aegean,3,NA
aegis,2,NA
aegisthus,1,NA
aeneas,1,NA
aeolian,4,NA
aeon,3,NA
aeons,NA,NA
aer,NA,NA
aerate,3,1
aerating,NA,NA
aeration,2,NA
aerial,4,3
aerialist,1,NA
aerials,NA,NA
aerie,2,2
aeries,NA,NA
aero,NA,NA
aerobatics,1,1
aerobic,2,2
aerobically,NA,NA
aerobics,1,1
aerodromes,NA,NA
aerodynamic,2,2
aerodynamically,NA,NA
aerodynamics,1,1
aerodyne,NA,NA
aeroelastic,NA,NA
aerofoils,NA,NA
aeron,NA,NA
aeronautical,1,NA
aeronautics,1,1
aeroplane,1,1
aeroplanes,NA,NA
aerosol,2,1
aerosolized,1,NA
aerosols,NA,NA
aerospace,1,NA
aery,3,NA
aeschylus,1,NA
aesir,1,NA
aesop,1,NA
aesthete,1,1
aesthetes,NA,NA
aesthetic,4,2
aesthetically,1,NA
aesthetics,1,NA
aet,NA,NA
af,NA,NA
afar,1,1
afb,NA,NA
afd,NA,NA
afeard,1,NA
afeared,1,NA
afebrile,1,NA
afer,NA,NA
aff,NA,NA
affa,NA,NA
affability,1,NA
affable,1,1
affably,1,NA
affair,3,5
affaire,1,NA
affaires,NA,NA
affairs,2,NA
affect,6,3
affectation,1,1
affectations,NA,NA
affected,3,1
affectedly,1,NA
affecting,1,1
affection,1,1
affectionate,1,1
affectionately,1,NA
affections,NA,NA
affective,1,1
affectless,NA,NA
affects,NA,NA
affenpinscher,1,NA
affianced,NA,NA
affiant,1,NA
affiche,NA,NA
afficionado,NA,NA
affidavit,1,1
affidavits,NA,NA
affiliate,4,NA
affiliated,1,NA
affiliates,NA,NA
affiliation,2,1
affiliations,NA,NA
affinity,7,2
affirm,3,4
affirmation,4,2
affirmations,NA,NA
affirmative,4,3
affirmatively,1,NA
affirmed,1,NA
affirming,NA,NA
affirms,NA,NA
affix,4,2
affixed,1,NA
afflatus,1,NA
afflict,2,1
afflicted,2,NA
afflicting,NA,NA
affliction,3,2
afflictions,NA,NA
afflictive,1,NA
afflicts,NA,NA
affluence,1,NA
affluent,3,1
afford,4,3
affordability,NA,NA
affordable,1,1
afforded,NA,NA
affording,NA,NA
affords,NA,NA
affright,2,NA
affront,2,1
affronted,NA,NA
afghan,6,1
afghani,3,NA
afghanis,NA,NA
afghanistan,1,NA
afghans,NA,NA
aficionado,2,1
aficionados,NA,NA
afield,3,NA
afikomen,NA,NA
afire,1,1
aflame,2,2
afloat,3,2
aflutter,1,NA
afoot,3,2
afore,NA,NA
aforehand,NA,NA
aforementioned,1,1
aforesaid,1,1
aforethought,1,NA
afoul,1,NA
afraid,4,2
afresh,1,1
africa,1,NA
african,2,NA
africans,NA,NA
afrikaans,2,NA
afrikaner,2,NA
afro,1,NA
afros,NA,NA
aft,2,1
after,3,NA
afterbirth,1,NA
afterburner,1,NA
afterburners,NA,NA
aftercare,1,1
afterdeck,1,NA
aftereffect,2,1
aftereffects,NA,NA
afterglow,2,2
afterimage,1,NA
afterlife,1,1
aftermarket,NA,1
aftermast,NA,NA
aftermath,2,NA
aftermaths,NA,NA
afternight,NA,NA
afternoon,2,1
afternoons,NA,NA
afters,1,NA
afterschool,NA,NA
aftershave,NA,1
aftershaves,NA,NA
aftershock,1,2
aftershocks,NA,NA
aftertaste,1,1
afterthought,2,2
afterthoughts,NA,NA
afterward,1,1
afterwards,1,1
afterwords,NA,NA
afterwork,NA,NA
afterworld,1,NA
ag,1,NA
aga,1,NA
again,1,3
against,NA,NA
agal,1,NA
agamemnon,1,NA
agapanthus,1,NA
agar,2,NA
agarose,NA,NA
agata,NA,NA
agate,1,1
agates,NA,NA
agave,1,1
age,8,8
aged,6,1
agee,1,NA
ageing,3,NA
ageism,1,1
ageist,NA,NA
ageless,1,2
agen,NA,NA
agencies,NA,NA
agency,5,2
agenda,2,2
agendas,NA,NA
agent,6,3
agenting,NA,NA
agents,NA,NA
ager,NA,NA
ageratum,2,NA
ages,NA,NA
aggie,NA,NA
aggies,NA,NA
agglutinate,3,NA
agglutinin,1,NA
aggrandize,1,NA
aggrandizement,1,1
aggrandizing,NA,NA
aggravate,2,2
aggravated,2,1
aggravates,NA,NA
aggravating,1,2
aggravation,3,3
aggregate,7,5
aggregating,NA,NA
aggregation,2,NA
aggress,1,NA
aggressed,NA,NA
aggresses,NA,NA
aggression,5,2
aggressions,NA,NA
aggressive,3,3
aggressively,1,NA
aggressiveness,3,NA
aggressor,2,1
aggressors,NA,NA
aggrieved,NA,1
aggro,1,NA
agha,1,NA
aghast,1,1
agile,2,2
agility,1,NA
agin,NA,NA
aging,3,2
agist,NA,NA
agists,NA,NA
agit,NA,NA
agitate,6,3
agitated,2,1
agitates,NA,NA
agitating,1,NA
agitation,5,3
agitato,NA,NA
agitator,1,2
agitators,NA,NA
agitprop,1,1
aglet,2,NA
aglow,1,2
agnate,2,NA
agnates,NA,NA
agnosia,1,NA
agnostic,4,3
ago,2,1
agog,1,1
agonal,1,NA
agonies,NA,NA
agonised,1,NA
agonising,1,NA
agonist,4,NA
agonize,2,1
agonized,1,2
agonizing,1,2
agony,2,2
agora,3,1
agoraphobia,1,1
agoraphobiac,NA,NA
agoraphobic,1,1
agoraphobics,NA,NA
agoras,NA,NA
agos,NA,NA
agr,NA,NA
agrarian,1,1
agreat,NA,NA
agree,7,3
agreeable,3,2
agreeably,1,NA
agreed,1,3
agreeing,NA,NA
agreement,6,2
agreements,NA,NA
agrees,NA,NA
agrement,NA,NA
agrestic,2,NA
agribusiness,1,2
agricultural,2,1
agriculturalist,1,NA
agriculture,4,1
agricultures,NA,NA
aground,2,NA
agt,NA,NA
agua,1,NA
aguacate,1,NA
aguardiente,NA,NA
ague,3,1
aguinaldo,NA,NA
agura,NA,NA
agust,NA,NA
agy,NA,NA
ah,NA,NA
aha,NA,NA
ahab,1,NA
ahchoo,NA,NA
ahead,8,5
ahem,1,NA
ahi,NA,NA
aho,NA,NA
ahold,NA,NA
ahorse,2,NA
ahoy,NA,NA
ahs,NA,NA
ahu,NA,NA
ai,4,NA
aid,6,7
aidable,NA,NA
aide,2,1
aided,1,NA
aider,NA,NA
aides,1,NA
aiding,NA,NA
aids,1,NA
aikido,1,NA
ail,3,2
ailed,NA,NA
aileron,1,1
ailerons,NA,NA
ailing,1,2
ailment,1,1
ailments,NA,NA
ails,NA,NA
aim,11,5
aimed,NA,NA
aimer,NA,NA
aiming,NA,NA
aimless,2,1
aimlessly,1,NA
aims,NA,NA
ain,1,NA
aint,NA,NA
ainu,NA,NA
aioli,1,1
air,15,7
airbag,NA,NA
airbags,NA,NA
airbase,NA,NA
airboat,NA,NA
airborne,1,2
airbrush,2,2
airbrushed,NA,NA
airbrushing,NA,NA
airburst,1,NA
aircraft,1,1
aircrafts,NA,NA
aircraftsman,1,NA
aircrew,1,1
airdate,NA,NA
airdrome,1,NA
airdromes,NA,NA
airdrop,1,1
aire,1,NA
aired,1,NA
airedale,1,NA
airedales,NA,NA
airfare,1,1
airfares,NA,NA
airfield,1,1
airfields,NA,NA
airflow,1,1
airfoil,1,1
airhead,2,1
airheads,NA,NA
airiness,3,NA
airing,3,2
airings,NA,NA
airless,1,1
airlift,2,2
airlifted,NA,NA
airlifting,NA,NA
airlifts,NA,NA
airline,2,1
airliner,1,1
airliners,NA,NA
airlines,NA,NA
airlock,1,2
airlocks,NA,NA
airmail,3,1
airman,1,NA
airmen,NA,NA
airmobile,NA,NA
airplane,1,1
airplanes,NA,NA
airplay,NA,1
airport,1,1
airports,NA,NA
airs,1,NA
airship,1,1
airships,NA,NA
airsick,1,1
airsickness,1,NA
airspace,2,1
airspeed,1,1
airstream,2,1
airstrike,NA,NA
airstrikes,NA,NA
airstrip,1,1
airstrips,NA,NA
airtight,2,1
airtime,NA,NA
airwave,1,NA
airwaves,NA,1
airway,4,2
airways,NA,NA
airworthy,1,1
airy,4,2
ais,NA,NA
aisle,3,1
aisles,NA,NA
ait,NA,NA
aiwan,NA,NA
ajar,1,1
ajax,1,NA
ajog,NA,NA
ajoint,NA,NA
ak,1,NA
aka,NA,NA
akamatsu,NA,NA
akasa,NA,NA
akasha,NA,NA
ake,NA,NA
aked,NA,NA
akee,2,NA
akela,NA,NA
akey,NA,NA
akimbo,2,NA
akin,2,NA
aking,NA,NA
akkadian,1,NA
ako,NA,NA
akra,NA,NA
akron,1,NA
aku,1,NA
al,2,NA
ala,2,NA
alabama,4,NA
alabaster,4,1
alack,NA,NA
alackaday,NA,NA
alacrity,1,NA
aladdin,1,NA
alai,NA,NA
alameda,NA,NA
alamo,1,NA
alamos,NA,NA
alan,NA,NA
alar,3,NA
alarm,6,5
alarmed,1,2
alarming,1,1
alarmingly,1,NA
alarmist,1,1
alarms,NA,NA
alarum,1,NA
alarums,NA,NA
alas,1,NA
alaska,1,NA
alaskan,2,NA
alaskans,NA,NA
alaskas,NA,NA
alastor,NA,NA
alb,1,NA
alba,NA,NA
albacore,2,NA
alban,NA,NA
albania,1,NA
albanian,3,NA
albanians,NA,NA
albany,2,NA
albatross,2,1
albatrosses,NA,NA
albe,NA,NA
albee,1,NA
albeit,NA,NA
alberich,NA,NA
albert,1,NA
alberta,1,NA
albinism,1,NA
albino,1,2
albinos,NA,NA
albion,1,NA
album,2,2
albumens,NA,NA
albumin,1,1
albums,NA,NA
albuquerque,1,NA
albus,NA,NA
alc,NA,NA
alcalde,1,NA
alcazar,1,NA
alce,NA,NA
alchemical,1,NA
alchemically,NA,NA
alchemist,1,1
alchemists,NA,NA
alchemize,1,NA
alchemy,2,2
alcibiades,1,NA
alcmene,NA,NA
alcohol,2,2
alcoholic,3,4
alcoholics,NA,NA
alcoholism,2,1
alcove,1,1
alcoves,NA,NA
ald,NA,NA
aldebaran,1,NA
aldehydes,NA,NA
alden,NA,NA
alder,2,1
alderman,1,2
aldermen,NA,NA
alders,NA,NA
aldrin,NA,NA
aldrins,NA,NA
ale,1,1
alec,NA,NA
alecs,NA,NA
alee,1,NA
alef,NA,NA
alehouse,1,1
aleikum,NA,NA
alem,NA,NA
alembic,1,NA
aleph,1,NA
alert,7,5
alerted,NA,NA
alerting,2,NA
alertly,1,NA
alertness,3,NA
alerts,NA,NA
ales,NA,NA
aleutian,2,NA
aleutians,1,NA
alexander,2,NA
alexanders,1,NA
alexandria,2,NA
