"Word","Freq_KF","Freq_HAL"
"ALREADEH",NA,0
"Alsace",NA,140
"Alsatian",NA,34
"Alsatians",NA,17
"ALSING",NA,2
"ALSOP",NA,48
"ALTAIRIANS",NA,1
"altarpieces",NA,1
"altars",NA,198
"ALTENBURG",NA,36
"alterable",NA,17
"altercated",NA,0
"altercates",NA,0
"altercating",NA,0
"altercations",NA,39
"alternates",NA,536
"alternations",NA,44
"alternators",NA,120
"ALTHAUS",NA,100
"ALTHEA",NA,55
"ALTHO",4,712
"altimeter",1,281
"altimeters",NA,47
"altitudes",NA,653
"ALTON",NA,415
"altos",NA,1125
"altruisms",NA,2
"altruistic",1,574
"altruists",NA,31
"alumna",1,25
"alumnus",1,434
"ALUNDUM",NA,1
"ALUSIK",NA,11
"ALUSIK'S",NA,0
"ALVA",NA,149
"ALVAREZ",NA,1222
"ALVEAR",NA,12
"alveolars",NA,0
"ALVIN",NA,1590
"ALVISE",NA,2
"ALWIN",NA,55
"alyssum",NA,12
"alyssums",NA,0
"AMADEE",NA,1
"AMADEE'S",NA,0
"AMADO",NA,221
"amah",1,0
"amahs",NA,0
"amalgam",1,623
"amalgamates",NA,18
"amalgamating",NA,9
"amalgamations",NA,16
"amalgams",NA,49
"amanuenses",NA,0
"amanuensis",1,19
"AMARAL",NA,103
"amaryllis",1,63
"amaryllises",NA,0
"amassed",NA,253
"amasses",NA,6
"amateurishly",NA,7
"amateurism",1,7
"amazes",NA,886
"ambassadorial",NA,70
"ambassadorship",NA,19
"ambassadorships",NA,2
"ambassadress",NA,0
"ambassadresses",NA,0
"ambergris",1,50
"ambidextrously",NA,6
"ambiguously",NA,51
"ambit",NA,78
"ambitiousness",NA,8
"ambits",NA,2
"ambivalently",NA,9
"ambiguousness",NA,0
"AMBLER",NA,98
"ambles",NA,16
"ambulant",NA,7
"ambuscaded",NA,0
"ambuscades",NA,4
"ambuscading",NA,0
"ambushing",NA,46
"AmE",NA,334
"AMEAUX",NA,0
"ameliorated",NA,54
"ameliorates",NA,15
"ameliorating",NA,42
"amelioration",NA,43
"amends",1,502
"amenities",NA,507
"AMENITSKII",NA,0
"AMERICANEGRO",NA,0
"ammeters",NA,5
"AMMONIAC",NA,2
"ammoniate",NA,0
"ammoniated",NA,1
"Americanism",NA,237
"Americanisms",NA,34
"americanized",NA,229
"americanizes",NA,0
"americanizing",NA,12
"Amerindian",NA,56
"Amerindians",NA,40
"AMETHYSTINE",NA,1
"amethysts",NA,6
"Amhara",NA,10
"Amharic",NA,63
"amiability",1,10
"amiably",1,49
"amicability",NA,5
"AMICAM",NA,0
"AMICI",NA,245
"amidships",NA,29
"amir",NA,835
"amirs",NA,1
"AMIS",NA,446
"ammeter",1,43
"ammoniates",NA,0
"ammoniating",NA,0
"ammonite",1,30
"ammonites",NA,43
"amnesties",NA,27
"amoebae",NA,26
"amoebas",NA,41
"amoebic",NA,28
"AMONASRO",NA,0
"amorously",NA,9
"amorousness",NA,0
"amorphousness",NA,3
"amortizations",NA,1
"amortized",NA,145
"amortizes",NA,4
"amortizing",NA,29
"AMOS",NA,4044
"amours",NA,22
"amperage",NA,139
"amperes",NA,49
"ampersands",NA,27
"amphibians",NA,333
"AMPHIBOLOGY",NA,0
"amphitheatre",NA,133
"amphitheatres",NA,1
"amphora",1,8
"amphorae",NA,28
"amphoras",NA,13
"ampler",NA,1
"amplest",NA,0
"amplifies",NA,163
"ampoule",1,22
"ampoules",NA,13
"amps",NA,3774
"amputates",NA,1
"amputating",NA,32
"amputations",NA,51
"amputees",NA,165
"AMRA",NA,89
"AMT",NA,708
"amuses",NA,213
"ANA",NA,3960
"ANABAPTISTS",NA,8
"ANABEL",NA,13
"ANABAPTIST",NA,7
"anachronistic",1,230
"anaemia",NA,58
"anaemic",NA,6
"anaemically",NA,0
"anaesthesia",NA,123
"anaesthetics",NA,28
"anaesthetist",NA,15
"anaesthetists",NA,3
"anaesthetized",NA,12
"anaesthetizes",NA,1
"anaesthetizing",NA,4
"anagrams",NA,320
"analecta",NA,0
"analects",NA,69
"analgesia",1,69
"analgesic",NA,114
"analgesics",NA,116
"analogize",NA,18
"analogized",NA,26
"analogizes",NA,2
"analogizing",NA,9
"analogously",NA,90
"analogue",NA,1260
"analogues",NA,188
"analyse",NA,927
"analysing",NA,441
"ANALYTICITY",NA,1
"ANALYTROL",NA,0
"ANANIA",NA,1
"anapaest",NA,0
"anapaestic",NA,0
"anapaests",NA,0
"ANAPLASMOSIS",NA,16
"anarchically",NA,0
"anarchistic",1,103
"anarchistically",NA,0
"anarchists",NA,926
"ANASTOMOSES",NA,3
"anathema",1,326
"anathemas",NA,8
"ANASTOMOSIS",NA,22
"ANASTOMOTIC",NA,0
"anathematize",NA,0
"anathematized",NA,4
"anathematizes",NA,0
"anathematizing",NA,0
"ANATOLE",NA,221
"ANATOMICALS",NA,0
"anatomies",NA,16
"anatomist",1,90
"anatomists",NA,14
"ANCEL",NA,3
"ancestress",NA,6
"ancestresses",NA,2
"ancestries",NA,27
"anchorages",NA,40
"anchoress",NA,2
"anchoresses",NA,0
"anchorite",2,0
"anchorites",NA,0
"ANCHORITISM",NA,0
"anchormen",NA,18
"anchovies",NA,192
"ancillaries",NA,3
"ANCISTRODON",NA,0
"andantes",NA,2
"ANDERLINI",NA,0
"ANDERS",NA,2311
"ANDERSON",NA,15861
"ANDERSON'S",NA,520
"andiron",1,15
"andirons",NA,5
"Andorra",NA,193
"Andorran",NA,9
"Andorrans",NA,0
"ANDREI",NA,830
"ANDREI'S",NA,3
"ANDRENA",NA,0
"ANDRENAS",NA,0
"ANDRES",NA,988
"ANDREWS",NA,2947
"ANDROFSKI",NA,0
"androgyne",NA,9
"androgynes",NA,6
"ANDROMACHE",NA,5
"ANDRUS",NA,69
"ANDRUSES",NA,0
"ANEMATED",NA,0
"'neath",NA,0
"'re",NA,0
"'shun",NA,0
"'tis",NA,0
"'twas",NA,0
"'tween",NA,0
"'twere",NA,0
"'twill",NA,0
"'twixt",NA,0
"'twould",NA,0
"'un",NA,0
"'ve",NA,0
"a's",NA,1836
"AA",NA,13782
"AAAWWW",NA,1
"AAs",NA,838
"abaci",NA,4
"abacuses",NA,8
"abaft",1,13
"abandons",NA,182
"ABARINGE",NA,0
"abased",NA,6
"abases",NA,9
"abashed",NA,42
"abashes",NA,0
"abashing",NA,0
"abasing",NA,8
"abatement",NA,147
"abates",NA,21
"abating",NA,52
"abattoir",1,55
"abattoirs",NA,25
"ABATUNO",NA,0
"ABBAS",NA,423
"ABBAS'S",NA,3
"abbe",3,128
"ABBERATIONS",NA,39
"abbes",NA,1
"abbesses",NA,4
"abbeys",NA,18
"ZHITZHAKLI",NA,0
"ZHOK",NA,0
"ZIEGFELD",NA,22
"ZIFFREN",NA,0
"ziggurat",NA,42
"ziggurats",NA,14
"ZIGGY",NA,519
"zigzagged",NA,6
"zigzags",NA,16
"Zimbabwean",NA,48
"Zimbabweans",NA,22
"ZIMMERMAN",NA,1867
"ZINMAN",NA,11
"zinnia",1,29
"zinnias",NA,9
"Zionism",NA,734
"Zionist",NA,837
"Zionists",NA,331
"zippers",NA,237
"zippier",NA,17
"zippiest",NA,1
"zipping",NA,361
"zips",NA,655
"ZIRALDO",NA,4
"zircon",1,381
"zircons",NA,5
"zither",1,50
"zithers",NA,12
"zizz",NA,0
"zloty",1,9
"zlotys",NA,18
"zodiacs",NA,51
"ZOE",NA,532
"zonal",NA,73
"zonked",NA,26
"ZOOEY",NA,34
"zoological",NA,218
"zoologists",NA,52
"zoomed",NA,263
"ZOOOOP",NA,0
"zoophyte",NA,7
"zoophytes",NA,0
"zoos",NA,443
"ZORRILLAS",NA,0
"ZOTE",NA,6
"Zouave",NA,5
"Zouaves",NA,8
"ZOUNDS",NA,41
"ZU",NA,7064
"ZUBKOVSKAYA",NA,0
"zucchinis",NA,8
"ZURCHER",NA,33
"ZWEI",NA,594
"ZWORYKIN",NA,1
"WOLFF",NA,577
"WOLFF'S",NA,17
"wolfhounds",NA,43
"wolfing",NA,49
"wolfish",NA,50
"WOLFISHLY",NA,4
"wolfram",1,600
"wolfs",NA,56
"wolfsbane",1,94
"WOLLMAN",NA,56
"WOLPE",NA,11
"WOLPE'S",NA,0
"WOLSTENHOLME",NA,93
"WOLVERTON",NA,102
"womanized",NA,0
"womanizers",NA,4
"womanizes",NA,1
"womanizing",NA,120
"womanlike",NA,0
"womanliness",NA,1
"wombats",NA,215
"wombs",NA,105
"wonderlands",NA,3
"wonderment",NA,136
"WONDUH",NA,0
"wonkier",NA,0
"wonkiest",NA,0
"wonky",NA,183
"wonted",NA,10
"WOODBERRY",NA,9
"woodblocks",NA,2
"WOODBURY'S",NA,4
"WOODCOCK'S",NA,6
"woodcocks",NA,8
"woodcrafts",NA,3
"woodcuts",NA,78
"woodenheaded",NA,0
"woodenly",NA,7
"woodenness",NA,4
"woodier",NA,1
"woodiest",NA,0
"WOODIN",NA,36
"woodlands",NA,589
"woodlice",NA,9
"woodlouse",NA,1
"WOODMAN'S",NA,1
"woodmen",NA,42
"woodpeckers",NA,85
"WOODRUFF",NA,342
"WOODRUFF'S",NA,5
"WOODS'S",NA,2
"woodsheds",NA,3
"woodsmen",NA,16
"WOODSMOKE",NA,16
"WOODWARDS",NA,4
"woodworms",NA,1
"wooer",NA,13
"wooers",NA,0
"woofer",NA,511
"woofers",NA,300
"wooing",NA,111
"woolgather",NA,9
"woolgathered",NA,0
"woolgathering",1,2
"woolgathers",NA,0
"WOOLLCOTT",NA,48
"woollens",NA,1
"woollier",NA,0
"woollies",NA,0
"woolliest",NA,0
"woolliness",NA,11
"wools",NA,60
"woolsack",1,3
"WOOMERA",NA,16
"WOONASQUATUCKET",NA,2
"WOOOOOSH",NA,1
"woos",NA,38
"woozier",NA,1
"wooziest",NA,0
"wop",NA,152
"wops",NA,11
"WORCESTERSHIRE",NA,233
"wordbook",NA,7
"wordbooks",NA,0
"wordier",NA,7
"wordiest",NA,1
"wordily",NA,11
"wordiness",NA,19
"wordlessly",NA,94
"wordlessness",NA,0
"workableness",NA,0
"workaday",1,79
"workbags",NA,0
"workbaskets",NA,1
"workbenches",NA,23
"workbooks",NA,136
"workbox",NA,1
"workboxes",NA,0
"workdays",NA,33
"workhorses",NA,29
"workhouses",NA,13
"WORKIN",NA,368
"workmanlike",NA,39
"workrooms",NA,1
"worktables",NA,2
"worktop",NA,8
"worktops",NA,1
"WORLDERS",NA,45
"worldlier",NA,1
"worldliest",NA,0
"worldliness",NA,31
"wormiest",NA,0
"worming",NA,121
"WORRELL",NA,206
"WORRYIN",NA,6
"worryingly",NA,19
"worsening",NA,281
"worshipper",NA,247
"worships",NA,331
"worsting",NA,0
"worsts",NA,5
"worthier",NA,32
"worthies",NA,45
"worthily",NA,23
"worthiness",NA,364
"worthlessly",NA,0
"wotcher",NA,0
"WOULDA",NA,323
"woulds",NA,9
"wouldst",NA,44
"WOZZEK",NA,0
"WRAC",NA,4
"WRACKED",NA,148
"WRACKING",NA,76
"WRACs",NA,0
"WRAGGE",NA,0
"wraiths",NA,193
"wranglers",NA,82
"wrangles",NA,38
"wrangling",NA,147
"WRAPPIN",NA,1
"wrappings",NA,48
"wrathfully",NA,0
"WRATTEN",NA,57
"wreaked",NA,92
"wreaking",NA,137
"wreaks",NA,79
"wreathes",NA,6
"wreathing",NA,3
"wreckers",NA,51
"wrecks",NA,442
"wrens",NA,32
"wrested",NA,78
"wresting",NA,55
"wrestled",NA,589
"wrestlers",NA,1053
"wrests",NA,9
"wretchedly",NA,21
"wretches",NA,103
"wrier",NA,9
"wriest",NA,0
"wriggled",NA,139
"wriggler",NA,9
"wrigglers",NA,11
"wriggles",NA,35
"wriggling",NA,234
"WRIGHT'S",NA,238
"wrights",NA,53
"wringers",NA,9
"wringing",NA,144
"wrinklier",NA,0
"wrinkliest",NA,0
"wrinkling",NA,85
"wristbands",NA,22
"wristier",NA,0
"wristiest",NA,0
"wristlet",1,1
"wristlets",NA,5
"wristwatches",NA,11
"wristy",NA,12
"writhes",NA,42
"wrongdoers",NA,50
"wrongdoings",NA,110
"wrongfully",NA,197
"wrongheaded",NA,62
"wrongheadedly",NA,0
"wrongheadedness",NA,6
"wronging",NA,18
"wroth",1,56
"wrung",NA,87
"WU",NA,3378
"WUH",NA,17
"wurst",NA,42
"wursts",NA,1
"WUS",NA,50
"WUSTMAN",NA,0
"WYATT",NA,1172
"WYCKOFF",NA,76
"WYCLIFFE",NA,51
"WYCOFF",NA,21
"WYCOFF'S",NA,0
"WYCOMBE",NA,204
"WYLIE",NA,1521
"WYMAN",NA,409
"WYN",NA,105
"WYNN",NA,696
"WYNNE",NA,276
"WYNSTON",NA,4
"wyvern",NA,951
"wyverns",NA,30
"XENIA",1,138
"xeroxed",NA,194
"xeroxes",NA,65
"xeroxing",NA,45
"Xmas",1,1490
"XYDIS",NA,1
"XYLEM",4,28
"y",11,174327
"Y'ALL",NA,4402
"Y'KNOW",NA,1581
"Y'R",NA,7
"Y'RE",NA,6
"y's",NA,344
"YA",NA,33016
"yachted",NA,0
"YACHTEL",NA,0
"YACHTELS",NA,0
"yachtswoman",NA,0
"yachtswomen",NA,0
"YADDO",NA,3
"yah",NA,1379
"yahoos",NA,361
"YAHWE",NA,2
"YAKIMA",NA,335
"yakked",NA,5
"yakking",NA,46
"YAKOV",NA,78
"YALAGALOO",NA,0
"YALIES",NA,5
"YAMABE",NA,3
"YAMATA",NA,7
"yammered",NA,6
"yammering",NA,97
"yammers",NA,2
"yams",NA,117
"yang",NA,14806
"YANKEEFICATION",NA,0
"YANKTON",NA,27
"yapped",NA,7
"yaps",NA,17
"YAQUI",NA,22
"yardages",NA,11
"yardarm",1,18
"yardarms",NA,3
"yardsticks",NA,55
"YARDUMIAN",NA,0
"yarned",NA,0
"yarning",NA,2
"yashmak",NA,0
"yashmaks",NA,1
"YASSUHS",NA,0
"yaw",NA,435
"yawed",NA,7
"yawing",NA,53
"yawls",NA,1
"yawned",NA,152
"yawns",NA,87
"yd",NA,625
"YE'RE",NA,10
"yearbooks",NA,87
"YEARD",NA,16
"yearlings",NA,23
"yearns",NA,83
"yeas",NA,158
"yeastier",NA,0
"yeastiest",NA,0
"YEDISAN",NA,0
"YEHHH",NA,1
"YEHUDI",NA,32
"YELLERISH",NA,0
"YELLIN",NA,88
"yellower",NA,10
"yellowest",NA,5
"yellowness",NA,1
"yellows",NA,323
"yells",NA,974
"Yemeni",NA,135
"Yemenis",NA,30
"YENI",NA,724
"yenned",NA,0
"yenning",NA,0
"yens",NA,43
"yeomanry",NA,25
"yeomen",NA,43
"yeses",NA,12
"YESIREE",NA,17
"yesterdays",NA,307
"yetis",NA,91
"yew",NA,383
"yews",NA,29
"YFF",NA,12
"yid",NA,53
"yids",NA,14
"yieldingly",NA,0
"YINGER",NA,7
"yob",NA,33
"yobbo",NA,10
"yobbos",NA,16
"yobs",NA,59
"yodelled",NA,0
"yodeller",NA,1
"yodellers",NA,0
"yodelling",NA,23
"yodels",NA,23
"yoghurt",1,187
"yoghurts",NA,5
"yogi",2,1081
"yogis",NA,139
"YOK",NA,1124
"yoked",NA,169
"yokes",NA,74
"yoking",NA,8
"YOKNAPATAWPHA",NA,3
"YOKOSUKA",NA,51
"YOKUSUKA",NA,0
"YOKUTS",NA,1
"yolks",NA,491
"YONEDA",NA,15
"YONGST",NA,0
"yonks",NA,33
"YOOEE",NA,0
"YOORICK",NA,0
"YORI",NA,57
"yorker",NA,1160
"yorkers",NA,351
"YOSHIMOTO'S",NA,2
"YOU'S",NA,205
"YOU'UNS",NA,1
"YOUNGUH",NA,0
"youthfully",NA,9
"youthfulness",NA,24
"YOW",NA,569
"yowled",NA,8
"yowling",NA,51
"yowls",NA,15
"YR",NA,8151
"YS",NA,766
"YTIME",NA,1
"YUBA",NA,119
"yuccas",NA,0
"Yugoslavians",NA,18
"Yugoslavs",NA,77
"YUH",NA,128
"YUJOBO",NA,0
"YUKI",NA,95
"yule",1,132
"YURI",NA,1282
"YUROCHKA",NA,0
"YUSE",NA,5
"YVETTE",NA,200
"YYYY",NA,538
"ZABEL",NA,33
"ZACHRISSON",NA,0
"ZACHRISSON'S",NA,0
"ZADEL",NA,4
"Zairean",NA,10
"Zaireans",NA,1
"Zambian",NA,24
"Zambians",NA,2
"ZAMIATIN'S",NA,0
"zanier",NA,5
"zanies",NA,2
"zaniest",NA,7
"ZANZIBAR",NA,220
"ZAPALA",NA,12
"ZAPOROGIAN",NA,0
"zapped",NA,597
"zapping",NA,529
"zaps",NA,184
"ZARA",NA,161
"ZAROUBIN",NA,0
"zealots",NA,795
"zealousness",NA,25
"ZEBEK",NA,0
"zebras",NA,139
"zebu",1,21
"zebus",NA,1
"zed",1,682
"zeds",NA,15
"zee",NA,974
"zees",NA,19
"ZEFFIRELLI",NA,36
"ZEISING",NA,3
"ZEISS",NA,365
"ZEME",NA,40
"ZEMLINSKY",NA,19
"ZEMLYA",NA,12
"zenana",1,1
"zenanas",NA,0
"ZENDO",NA,12
"zenithal",NA,2
"zeniths",NA,16
"ZENNIST",NA,5
"zephyrs",NA,40
"zeppelins",NA,67
"ZHITKOV",NA,0
"WERTHER",NA,52
"WES",NA,3105
"WESKER",NA,2
"Wesleyans",NA,2
"WESSON",NA,715
"WESTBROOK",NA,788
"westernized",NA,136
"westernizes",NA,1
"westernizing",NA,1
"westernmost",NA,42
"westerns",NA,345
"WESTFIELD",NA,474
"WESTHAMPTON",NA,12
"WESTMORE",NA,33
"WESTON",NA,1684
"WESTPHALIA",NA,81
"WESTPORT",NA,320
"WESTWOOD",NA,957
"wether",NA,1833
"wethers",NA,1
"wets",NA,98
"wettest",NA,47
"wettings",NA,5
"WEXLER",NA,217
"WEYBOSSET",NA,5
"whackers",NA,8
"whacking",NA,326
"whackings",NA,3
"whacks",NA,206
"WHADDYA",NA,576
"whaled",NA,8
"whalers",NA,676
"whales",NA,2222
"whams",NA,10
"whang",NA,33
"whanged",NA,2
"whanging",NA,8
"whangs",NA,12
"wharfage",NA,0
"wharfs",NA,21
"whate'er",NA,4
"WHATMAN",NA,5
"whatnots",NA,15
"whatsoe'er",NA,2
"WHEARE",NA,2
"wheaten",NA,358
"WHEATON",NA,717
"WHEE",NA,237
"wheedle",1,70
"wheedled",NA,12
"wheedles",NA,0
"wheedling",NA,60
"WHEELAN'S",NA,0
"wheelbarrows",NA,24
"wheelbases",NA,13
"wheelchairs",NA,250
"WHEELER",NA,2395
"WHEELER'S",NA,107
"wheelhouses",NA,1
"WHEELOCK",NA,110
"WHEELOCK'S",NA,2
"wheelwrights",NA,1
"wheezier",NA,0
"wheeziest",NA,0
"wheezily",NA,0
"wheeziness",NA,1
"WHELAN",NA,326
"whelk",1,19
"whelks",NA,5
"whelped",NA,32
"whelping",NA,92
"whelps",NA,142
"WHER",NA,326
"WHEREEVER",NA,388
"whereunto",NA,7
"wherries",NA,6
"wherry",1,23
"whets",NA,10
"whetstones",NA,21
"whetting",NA,5
"whiffed",NA,37
"whiffier",NA,0
"whiffiest",NA,0
"whiffing",NA,13
"whiffs",NA,37
"whiffy",NA,0
"whimpered",NA,411
"whimpers",NA,133
"whimsicalities",NA,0
"whimsies",NA,5
"whin",NA,54
"whiner",NA,718
"whimsicality",1,2
"whimsically",1,45
"whiners",NA,625
"whines",NA,628
"whinnies",NA,2
"whinnying",NA,4
"whipcord",NA,4
"whippersnappers",NA,19
"whippets",NA,96
"whippier",NA,2
"whippiest",NA,0
"whippings",NA,71
"WHIPPLE",NA,183
"WHIPPLE'S",NA,1
"whippoorwills",NA,2
"WHIPSAWED",NA,24
"WHIPSNADE",NA,2
"whirligigs",NA,2
"whirlpools",NA,83
"whirls",NA,69
"whirlwinds",NA,25
"whirlybird",1,11
"whirlybirds",NA,6
"whirr",1,27
"whirred",NA,37
"whirrs",NA,28
"whiskies",NA,29
"whisks",NA,22
"whisperers",NA,5
"whist",1,27
"whistles",NA,1372
"whit",1,713
"WHITCOMB",NA,86
"whitebait",1,10
"whitecaps",NA,15
"Whitehall",1,146
"WHITELEAF",NA,1
"WHITELEY",NA,108
"WHITEMAN",NA,98
"WHITEMARSH",NA,6
"whiter",NA,163
"whitest",NA,49
"whitethorn",NA,3
"whitethorns",NA,0
"whitethroat",NA,0
"whitethroats",NA,0
"whitewashes",NA,2
"whitewashing",NA,33
"WHITEY",NA,254
"WHITFIELD",NA,370
"Whitsun",NA,3
"Whitsuns",NA,0
"Whitsuntide",NA,1
"Whitsuntides",NA,0
"WHITTAKER",NA,258
"WHITTIER",NA,279
"WHITTIER'S",NA,7
"whittled",NA,84
"whittler",NA,13
"whittlers",NA,1
"whittles",NA,8
"whittling",NA,60
"whizzes",NA,36
"whodunits",NA,6
"WHODUNNIT",NA,78
"wholesaler",NA,357
"wholesomeness",NA,26
"whooped",NA,60
"whoops",NA,1548
"whooshes",NA,4
"whop",NA,40
"whopped",NA,16
"whops",NA,6
"whorehouses",NA,33
"whoremongers",NA,4
"whorled",NA,5
"whortleberries",NA,0
"whortleberry",NA,0
"whoso",1,104
"WHY'N",NA,1
"WHYFORES",NA,0
"WHYN'T",NA,2
"whys",NA,177
"wickeder",NA,3
"wickedest",NA,18
"WICKHAM",NA,143
"wicks",NA,294
"WIDEGRIP",NA,1
"WIDENER",NA,187
"widening",NA,572
"wides",NA,42
"widgeon",NA,16
"widgeons",NA,0
"widowers",NA,43
"WIDSITH",NA,1
"WIDTHWISE",NA,13
"WIEDERUM",NA,32
"WIELAND",NA,201
"wielders",NA,32
"wielding",NA,570
"wields",NA,230
"wifelier",NA,0
"wifeliest",NA,0
"wigged",NA,35
"wigging",NA,15
"wiggings",NA,4
"wiggler",NA,24
"wigglers",NA,56
"wiggles",NA,163
"wight",1,724
"wights",NA,59
"wigs",NA,334
"wigwams",NA,2
"WIL",NA,2713
"WILCKE",NA,11
"wilco",NA,94
"WILCOX",NA,2002
"wildcats",NA,919
"WILDE",NA,1596
"wildebeests",NA,13
"WILDENSTEIN",NA,2
"WILDER'S",NA,37
"wildernesses",NA,24
"WILDHACK",NA,23
"wilds",NA,2433
"WILEY",NA,2391
"WILFRID",NA,536
"wilful",1,84
"wilfully",NA,130
"wilfulness",NA,1
"WILHELMINA",NA,51
"wilier",NA,10
"wiliest",NA,3
"WILIGIS",NA,0
"WILKES",NA,858
"WILKEY",NA,24
"WILKINSON",NA,1735
"WILLA",NA,102
"WILLAMETTE",NA,478
"WILLARD",NA,864
"WILLCOX",NA,104
"WILLEM",NA,506
"WILLETT",NA,238
"WILLIAM'S",NA,223
"Williams",NA,21194
"WILLIAMSON'S",NA,44
"willies",1,204
"WILLINGE",NA,0
"WILLINGS",NA,0
"WILLYA",NA,95
"WILMETTE",NA,161
"WILMINGTON",NA,990
"WILSHIRE",NA,950
"wilting",NA,66
"Wilton",1,472
"Wiltons",NA,3
"wilts",NA,300
"Wimpies",NA,24
"wimple",1,8
"wimples",NA,8
"Wimpy",NA,1085
"WIMSATT",NA,10
"winces",NA,62
"wincey",NA,1
"winceyette",NA,0
"winch",1,490
"winched",NA,19
"WINCHELL",NA,65
"winching",NA,58
"windbags",NA,22
"windbreakers",NA,16
"windcheater",NA,2
"windcheaters",NA,1
"windfalls",NA,10
"WINDHAM",NA,434
"windier",NA,12
"windiest",NA,8
"windily",NA,0
"windiness",NA,1
"windjammers",NA,22
"windlass",1,58
"windlasses",NA,4
"windmills",NA,266
"windowsills",NA,13
"windpipe",1,85
"windpipes",NA,0
"windscreens",NA,25
"windshields",NA,148
"windsleeves",NA,0
"windsocks",NA,24
"windstorms",NA,16
"winebibber",NA,0
"winebibbers",NA,0
"winebibbing",NA,0
"wineglasses",NA,3
"WINEHEAD",NA,0
"winepresses",NA,0
"wineskins",NA,13
"WINFIELD",NA,688
"wingers",NA,469
"wingspans",NA,7
"wingspreads",NA,0
"winkers",NA,1
"winkle",1,108
"winkles",NA,15
"winks",NA,247
"WINNETKA",NA,83
"WINNIPESAUKEE",NA,11
"winnow",1,34
"winnowed",NA,31
"winnowing",NA,56
"winnows",NA,4
"WINOOSKI",NA,16
"WINOS",NA,469
"WINSETT",NA,27
"WINSLOW",NA,274
"WINSLOW'S",NA,5
"winsomely",NA,2
"winsomeness",NA,2
"WINSOR",NA,123
"winterier",NA,0
"winteriest",NA,0
"WINTHROP",NA,500
"wintrier",NA,0
"wintriest",NA,0
"wipers",NA,385
"wipes",NA,736
"wirelesses",NA,2
"wiretapped",NA,14
"wiretapping",NA,166
"wiretaps",NA,122
"wireworms",NA,0
"wirier",NA,0
"wiriest",NA,0
"wiriness",NA,1
"WIS",NA,552
"wiseacre",1,11
"wiseacres",NA,41
"wisecracking",NA,25
"wisecracks",NA,77
"WISED",NA,117
"WISHART",NA,56
"wishbones",NA,28
"wishfully",NA,24
"WISMAN",NA,27
"WISMAN'S",NA,0
"wispier",NA,0
"wispiest",NA,0
"WISSAHICKON",NA,5
"Wistar",NA,74
"WISTER",NA,3
"wisterias",NA,12
"wistfulness",NA,5
"witchdoctors",NA,7
"witchery",1,15
"witching",NA,210
"withdrawals",NA,336
"withdraws",NA,261
"withe",NA,202
"witheringly",NA,8
"withers",1,2115
"WITHERSPOON",NA,308
"withes",NA,1
"withholds",NA,134
"withies",NA,0
"withstanding",NA,309
"withy",1,9
"witlessly",NA,7
"witlessness",NA,5
"WITOLD",NA,61
"WITT",NA,488
"WITTER",NA,246
"witticism",1,64
"witticisms",NA,88
