"POS","ID","PosScore","NegScore","SynsetTerms"
"a",31533,0,0.5,"unacquisitive"
"a",31674,0,0,"acropetal"
"a",31824,0,0,"basipetal"
"a",31974,0.5,0.125,"active"
"a",32358,0,0,"astir about"
"a",32497,0.375,0,"gymnastic athletic acrobatic"
"a",32733,0,0,"spry quick nimble agile"
"a",33077,0.5,0,"hot1"
"a",33206,0.25,0,"overactive hyperactive"
"a",33359,0.125,0,"on_the_go"
"a",33475,0.25,0,"sporty"
"a",33574,0.375,0.5,"inactive"
"a",33886,0.125,0,"deskbound desk-bound"
"a",34032,0.25,0.375,"dormant abeyant"
"a",34232,0,0.625,"underactive hypoactive"
"a",34322,0.25,0.125,"torpid soggy sluggish inert"
"a",34572,0.125,0,"sedentary"
"a",34710,0,0,"active4"
"a",34924,0,0.125,"activated"
"a",35074,0,0.375,"inactive"
"a",35254,0,0.625,"off"
"a",35368,0,0.625,"retired"
"a",35465,0,0,"active"
"a",35779,0.25,0.125,"brisk"
"a",35868,0.5,0,"bustling"
"a",35978,0.375,0.25,"busy"
"a",36163,0,0.5,"going"
"a",36254,0,0,"open1"
"a",36346,0.125,0.375,"springy"
"a",36481,0.25,0,"inactive"
"a",36763,0,0,"dark1"
"a",36879,0.25,0,"dead7"
"a",36998,0,0.5,"sluggish slow dull"
"a",37188,0.125,0.625,"unused idle"
"a",37341,0,0,"strikebound"
"a",37457,0.375,0.5,"active"
"a",37653,0,0.25,"progressive"
"a",37757,0,0.375,"inactive"
"a",37985,0.125,0.125,"dead-end"
"a",38119,0,0,"flat5"
"a",38260,0,0,"indolent"
"a",38462,0.125,0.25,"latent"
"a",38623,0,0.625,"quiescent"
"a",38750,0.125,0,"active"
"a",39122,0,0,"activistic activist"
"a",39259,0,0,"hands-on"
"a",39394,0,0,"proactive"
"a",39592,0.375,0.25,"passive inactive"
"a",39929,0,0.625,"hands-off"
"a",40058,0,0.75,"unresisting supine resistless"
"a",40325,0,0.5,"active3"
"a",40534,0.125,0.5,"eruptive"
"a",40685,0,0,"inactive dormant"
"a",40909,0,0.25,"quiescent"
"a",41051,0,0,"extinct"
"a",41202,0.25,0.625,"dead"
"a",41361,0,0.5,"active2"
"a",41488,0.5,0,"live1 alive"
"a",41618,0,0,"dynamic active1"
"a",41841,0,0,"stative"
"a",42037,0,0,"active0"
"a",42228,0,0,"passive"
"a",42457,0.25,0,"active"
"a",42692,0.125,0,"activated"
"a",42837,0,0.5,"counteractive"
"a",42982,0,0,"surface-active"
"a",43125,0,0.625,"inactive"
"a",43231,0.125,0.625,"quiescent"
"a",43411,0.375,0,"active"
"a",43615,0,0.5,"quiet"
"a",43765,0.125,0.5,"existent actual"
"a",44132,0.5,0,"effective"
"a",44353,0,0.25,"potential possible"
"a",44608,0,0.625,"latent"
"a",44760,0,0.5,"acute"
"a",44987,0,0,"subacute"
"a",45123,0,0.375,"chronic"
"a",45356,0,0.375,"degenerative"
"a",45561,0.5,0,"virulent"
"a",45735,0.125,0.375,"highly_infective"
"a",45888,0.125,0.25,"deadly"
"a",46014,0,0.875,"avirulent"
"a",46109,0.25,0,"adaptive adaptative"
"a",46339,0.625,0.125,"reconciling accommodative"
"a",46471,0,0,"adaptational"
"a",46558,0.625,0.125,"adjustive"
"a",46673,0.5,0.375,"maladaptive"
"a",46792,0,0,"nonadaptive dysfunctional"
"a",46955,0.375,0.25,"maladjustive"
"a",47029,0,0,"addicted"
"a",47243,0,0,"alcoholic alcohol-dependent"
"a",47406,0,0,"strung-out hooked drug-addicted dependent dependant"
"a",47566,0,0.125,"unaddicted"
"a",47653,0.5,0,"clean8"
"a",47786,0,0.625,"habit-forming addictive"
"a",47954,0.25,0.5,"nonaddictive"
"a",48129,0,0.375,"additive"
"a",48460,0,0,"cumulative accumulative"
"a",48706,0.5,0,"addible addable"
"a",48858,0,0,"extra additional"
"a",49016,0.125,0.125,"completing complementary complemental"
"a",49266,0,0,"incremental"
"a",49469,0,0,"intercalary"
"a",49683,0,0,"summative summational"
"a",49879,0,0,"supplementary supplemental"
"a",50083,0.25,0,"subtractive"
"a",50260,0.625,0,"ablative"
"a",50446,0,0.625,"reductive"
"a",50641,0.125,0,"addressed"
"a",50799,0,0,"self-addressed"
"a",50947,0,0.125,"unaddressed"
"a",51045,0,0,"equal adequate"
"a",51373,0.375,0.25,"up_to equal_to capable adequate_to"
"a",51571,0.25,0,"competent"
"a",51696,0,0.5,"unequal inadequate"
"a",52012,0,0.625,"wanting lacking deficient"
"a",52246,0,0.25,"unequal_to incompetent incapable"
"a",52431,0,0.75,"understaffed undermanned short-staffed short-handed"
"a",52672,0.25,0.5,"adhesive"
"a",53032,0,0,"adherent"
"a",53154,0,0,"agglutinative agglutinate"
"a",53248,0.25,0,"bondable"
"a",53384,0,0,"tenacious coherent"
"a",53564,0,0.5,"cohesive"
"a",53691,0,0,"viscous viscid sticky pasty mucilaginous gummy glutinous gluey"
"a",54109,0,0,"icky gooey"
"a",54201,0,0,"gum-like"
"a",54278,0,0.25,"gummy gummed"
"a",54364,0,0,"tarry resiny resinous pitchy"
"a",54541,0,0.5,"self-sealing"
"a",54667,0,0.5,"stick-on"
"a",54804,0,0,"sticky"
"a",54908,0,0.75,"nonadhesive"
"a",55041,0,0.625,"nonviscid nonglutinous"
"a",55142,0,0.5,"nonresiny nonresinous non-resiny non-resinous"
"a",55256,0,0.75,"ungummed"
"a",55340,0,0,"procedural adjective"
"a",55539,0.125,0,"substantive essential"
"a",55765,0.75,0,"adoptable"
"a",55906,0,0,"unadoptable"
"a",56002,0.375,0,"decorated adorned"
"a",56660,0,0.375,"spangly spangled sequined jewelled jeweled gemmed beady"
"a",56849,0,0.5,"bedaubed"
"a",56943,0,0.25,"spectacled monocled bespectacled"
"a",57149,0,0,"raised embossed brocaded"
"a",57390,0,0.125,"buttony"
"a",57490,0,0,"carbuncled"
"a",57566,0,0,"cloisonne champleve"
"a",57737,0,0,"tinselly tinseled clinquant"
"a",57881,0,0.25,"plumed crested"
"a",57992,0,0,"tufted topknotted crested"
"a",58280,0,0,"crested"
"a",58379,0,0,"crocketed"
"a",58554,0,0.125,"plumy feathery feathered"
"a",58696,0,0.125,"ruffled frilly frilled"
"a",58822,0,0.125,"fringed"
"a",58929,0.125,0,"gilt-edged"
"a",59028,0,0.125,"inflamed"
"a",59131,0,0.125,"inlaid"
"a",59201,0,0,"inwrought"
"a",59326,0,0,"tessellated"
"a",59491,0,0.25,"mounted"
"a",59669,0,0.125,"wainscoted paneled"
"a",59782,0,0.375,"studded"
"a",59965,0,0.125,"tapestried"
"a",60053,0,0.125,"tasselled tasseled"
"a",60151,0,0.125,"tricked-out"
"a",60294,0,0.125,"tufted"
"a",60397,0.25,0.625,"undecorated unadorned"
"a",60605,0.125,0.25,"unornamented unembellished spare plain bare0"
"a",60875,0.375,0.375,"untufted"
"a",60969,0,0,"cholinergic"
"a",61088,0,0,"anticholinergic"
"a",61262,0.25,0,"adroit"
"a",61664,0.625,0,"neat clean7"
"a",61885,0.625,0,"ingenious cunning clever"
"a",62152,0,0,"coordinated co-ordinated"
"a",62367,0.25,0.25,"dextrous dexterous deft"
"a",62626,0.25,0,"handy"
"a",62740,0,0,"nimble-fingered light-fingered"
"a",63087,0.5,0,"quick-witted"
"a",63277,0.25,0.375,"maladroit"
"a",63563,0.125,0.75,"left-handed heavy-handed handless ham-handed ham-fisted butterfingered bungling bumbling"
"a",63953,0.5,0.125,"tactless inept"
"a",64176,0.125,0.375,"uncoordinated"
"a",64365,0,0.25,"unmechanical nonmechanical"
"a",64479,0.625,0,"advantageous"
"a",64787,0.625,0,"good beneficial"
"a",65064,0.75,0,"positive plus"
"a",65184,0.125,0.25,"preferential discriminatory"
"a",65488,0.75,0.25,"disadvantageous"
"a",65667,0,0.875,"negative minus"
"a",65791,0.625,0.25,"adventurous adventuresome"
"a",66146,0.375,0.125,"venturous venturesome daring audacious"
"a",66565,0.25,0.25,"sporting"
"a",66703,0.375,0.25,"swashbuckling swaggering"
"a",66800,0.25,0.375,"unadventurous"
"a",66933,0,0,"safe"
"a",67038,0.625,0,"advisable"
"a",67379,0.75,0,"better best"
"a",67638,0.625,0,"well"
"a",67767,0.125,0.625,"unadvisable inadvisable"
"a",67966,0.5,0,"well-advised advised"
"a",68180,0,0,"considered"
"a",68278,0,0.125,"unadvised ill-advised"
"a",68566,0,0,"aerophilous aerophilic aerobic"
"a",68738,0,0,"aerobiotic"
"a",68883,0,0,"oxidative"
"a",69060,0,0.375,"anaerobiotic anaerobic"
"a",69217,0.5,0,"aerobic"
"a",69427,0,0.25,"anaerobic"
"a",69531,0.625,0,"esthetical esthetic aesthetical aesthetic"
"a",69948,0.625,0,"artistic"
"a",70111,0,0,"enhancive cosmetic"
"a",70288,0.25,0,"painterly"
"a",70427,0.375,0.125,"sensuous"
"a",70583,0.5,0.5,"unaesthetic inaesthetic"
"a",70839,0.125,0.5,"unartistic inartistic"
"a",70939,0.375,0,"affected"
"a",71142,0.5,0.5,"impressed"
"a",71242,0,0.375,"struck stricken smitten"
"a",71427,0.125,0,"stage-struck"
"a",71559,0,0.625,"subject"
"a",71739,0.125,0.5,"taken"
"a",71897,0,0.5,"wonder-struck"
"a",71992,0.125,0.125,"unaffected"
"a",72281,0,0.625,"immune"
"a",72436,0.125,0,"superior"
"a",72673,0,0.625,"unimpressed"
"a",72790,0.25,0.625,"untouched unswayed uninfluenced"
"a",73048,0,0,"unnatural affected"
"a",73358,0,0,"strained agonistic"
"a",73465,0,0.25,"stilted hokey contrived artificial"
"a",73761,0.125,0.625,"strained forced constrained"
"a",73935,0,0.25,"elocutionary"
"a",74094,0,0.375,"mannered"
"a",74216,0.25,0.125,"plummy"
"a",74346,0.75,0.125,"unaffected"
"a",74594,0.25,0,"natural0 lifelike"
"a",74741,0,0.375,"unmannered"
"a",74867,0.125,0.125,"unselfconscious"
"a",75019,0,0,"unstilted"
"a",75135,0.5,0,"affirmatory affirmative"
"a",75389,0.25,0,"assentient"
"a",75515,0,0.75,"negative"
"a",75737,0,0.625,"dissident dissenting dissentient"
"a",75952,0.375,0.25,"acceptive"
"a",76127,0.375,0.125,"accepting"
"a",76341,0.125,0.5,"rejective"
"a",76580,0.125,0.875,"dismissive"
"a",76739,0,0,"repudiative"
"a",76921,0,0,"afloat"
"a",77059,0,0,"adrift"
"a",77196,0,0,"floating"
"a",77354,0,0,"waterborne"
"a",77449,0,0,"aground"
"a",77645,0,0.5,"afraid"
"a",78329,0,0.75,"acrophobic"
"a",78463,0,0.125,"afeared afeard"
"a",78576,0.25,0,"shocked dismayed appalled aghast"
"a",78705,0,0.75,"agoraphobic"
"a",78851,0,0.625,"alarmed"
"a",78942,0,0.875,"algophobic"
"a",79069,0.125,0.625,"apprehensive"
"a",79262,0.125,0.25,"hangdog"
"a",79356,0,0.75,"claustrophobic"
"a",79485,0.125,0.375,"fearful"
"a",79629,0,0.125,"scared frightened"
"a",79786,0,0.25,"horror-struck horror-stricken horrified"
"a",79896,0.625,0.125,"hunted"
"a",80098,0,0.75,"hydrophobic aquaphobic"
"a",80213,0,0.75,"mysophobic"
"a",80357,0,0,"terrified panicky panicked panic-struck panic-stricken frightened"
"a",80698,0,0.75,"numb"
"a",80861,0,0.375,"shitless"
"a",80981,0,0.5,"terror-struck terror-stricken"
"a",81087,0,0.625,"triskaidekaphobic"
"a",81234,0,0.625,"unnerved"
"a",81417,0.125,0,"white-lipped"
"a",81513,0,0.75,"xenophobic"
"a",81671,0.25,0.125,"unafraid fearless"
"a",81930,0,0.625,"unapprehensive"
"a",82034,0.25,0.375,"unshrinking unintimidated unflinching unblinking"
"a",82160,0.625,0.25,"unfrightened"
"a",82241,0.5,0,"aggressive"
"a",82766,0.5,0,"combative bellicose battleful"
"a",83003,0.5,0.125,"militant competitive"
"a",83296,0.125,0.125,"high-pressure hard-hitting"
"a",83478,0,0,"hostile"
"a",83749,0.25,0,"in-your-face"
"a",83876,0.125,0.25,"obstreperous"
"a",84022,0,0,"vulturous vulturine ravening raptorial rapacious predatory"
"a",84353,0.25,0,"rough pugnacious"
"a",84661,0.375,0.125,"scrappy"
"a",84795,0.25,0.5,"truculent"
"a",84956,0,0.625,"unaggressive nonaggressive"
"a",85139,0.125,0.375,"low-pressure"
"a",85264,0,0.5,"agitated"
"a",85630,0.25,0.5,"worked_up excited emotional aroused"
"a",85870,0,0.125,"overwrought distraught"
"a",86005,0,0.5,"shaken jolted"
"a",86210,0.375,0.375,"hectic feverish"
"a",86341,0.25,0.5,"phrenetic frenzied frenetic frantic"
"a",86606,0.125,0.625,"hysterical"
"a",86801,0,0.5,"psychedelic"
"a",87022,0,0,"wild-eyed"
"a",87152,0.125,0.625,"unagitated"
"a",87354,0,0.125,"agitated"
"a",87597,0,0,"turbulent roily roiling roiled churning"
"a",87837,0.25,0,"churning churned-up"
"a",88055,0,0,"jolted"
"a",88157,0,0,"ruffled rippled"
"a",88328,0.25,0.25,"seething"
"a",88545,0,0,"stirred"
"a",88658,0,0.75,"unagitated"
"a",88792,0,0.25,"nonturbulent"
"a",88899,0.5,0.25,"unstirred"
"a",89051,0.5,0,"agreeable"
"a",89355,0.125,0.875,"disagreeable"
"a",89550,0,0.5,"vexing vexatious teasing plaguy plaguey pestiferous pestering pesky nettlesome irritating galling bothersome annoying"
"a",90219,0.333,0.667,"harsh abrasive"
"a",90408,0,0.625,"trying stressful nerve-wracking nerve-racking"
"a",90628,0,0.625,"unsweet"
"a",90718,0,0,"air-to-surface air-to-ground"
"a",90917,0,0,"air-to-air"
"a",91121,0,0,"surface-to-air"
"a",91311,0.5,0,"watchful alert"
"a",91764,0.375,0,"wakeful vigilant open-eyed argus-eyed"
"a",92136,0.125,0.625,"fly"
"a",92275,0.5,0,"wide-awake heads-up"
"a",92391,0.125,0.375,"sleepless lidless"
"a",92551,0.25,0.5,"unwatchful unvigilant unalert"
"a",92691,0,0,"algorithmic"
"a",92848,0,0,"recursive"
"a",92933,0,0,"heuristic"
"a",93108,0,0,"trial-and-error"
"a",93275,0,0,"alienable"
"a",93433,0,0,"appropriable"
"a",93556,0.125,0,"transferrable transferable negotiable conveyable assignable"
"a",93810,0.125,0.375,"unalienable inalienable"
"a",94069,0.125,0.625,"inviolable infrangible absolute"
"a",94239,0.5,0,"non-negotiable"
"a",94324,0.125,0.5,"untransferable unassignable nontransferable"
"a",94448,0.125,0,"live alive"
"a",94799,0.375,0.125,"liveborn"
"a",94941,0.5,0,"viable"
"a",95094,0,0,"vital"
"a",95280,0,0.75,"dead"
"a",95873,0,0.5,"gone departed deceased at_rest at_peace asleep"
"a",96072,0,0,"assassinated"
"a",96239,0,0.5,"exsanguinous exsanguine bloodless"
"a",96414,0,0,"brain_dead"
"a",96595,0,0.75,"pulseless inanimate breathless"
"a",96815,0,0.375,"cold3"
"a",96913,0,0,"d.o.a."
"a",97022,0,0.375,"deathly deathlike"
"a",97147,0,0,"defunct"
"a",97305,0,0.375,"doomed"
"a",97452,0,0,"executed"
"a",97577,0,0.25,"fallen"
"a",97674,0.125,0,"late"
"a",97768,0,0.5,"lifeless exanimate"
"a",97906,0,0,"murdered"
"a",98043,0,0.625,"nonviable"
"a",98147,0,0,"slain"
"a",98307,0.25,0.5,"stillborn"
"a",98450,0,0.375,"stone-dead"
"a",98529,0,0,"apocrine"
"a",98736,0.25,0,"eccrine"
"a",98933,0,0,"artesian"
"a",99097,0,0.125,"subartesian"
"a",99290,0.5,0,"live"
"a",99590,0,0,"in_play"
"a",99704,0,0.125,"living"
"a",99874,0,0.625,"dead"
"a",100213,0,0.125,"out extinct"
"a",100373,0,0.75,"lifeless"
"a",100506,0,0,"out_of_play"
"a",100634,0,0,"alphabetical alphabetic"
"a",100881,0,0,"abecedarian"
"a",100989,0,0,"alphabetized alphabetised"
"a",101152,0,0.125,"analphabetic"
"a",101331,0,0,"altricial"
"a",101452,0.25,0,"precocial"
"a",101609,0.875,0,"selfless altruistic"
"a",101800,0.375,0,"self-centred self-centered egoistical egoistic egocentric"
"a",102079,0.5,0,"self-involved self-absorbed"
"a",102201,0.125,0,"ambiguous"
"a",102578,0.5,0,"double-barrelled double-barreled"
"a",102786,0,0,"double-edged"
"a",102930,0.25,0.125,"oracular enigmatic"
"a",103196,0.375,0.375,"left-handed"
"a",103302,0.375,0,"multivalent multi-valued"
"a",103447,0,0,"polysemous polysemantic"
"a",103567,0.375,0.375,"uncertain"
"a",103696,0.375,0,"unambiguous"
"a",103953,0.125,0,"monosemous"
"a",104051,0.5,0.125,"ambitious"
"a",104318,0.625,0,"pushy pushful"
"a",104533,0.5,0,"wishful aspiring aspirant"
"a",104699,0.375,0,"driven determined compulsive"
"a",104825,0.25,0,"would-be manque"
"a",104942,0.375,0.25,"overambitious"
"a",105023,0.5,0,"unambitious ambitionless"
"a",105197,0.25,0.5,"shiftless"
"a",105388,0,0.25,"ametropic"
"a",105566,0,0,"emmetropic"
"a",105746,0,0,"ample"
"a",106020,0,0,"good full"
"a",106182,0.25,0,"generous"
"a",106277,0,0,"wide-cut wide full"
"a",106456,0,0.625,"stingy scrimpy meagre meagerly meager"
"a",106821,0,0.5,"spare scanty bare"
"a",107017,0.125,0.625,"exiguous"
"a",107128,0,0.5,"hand-to-mouth"
"a",107250,0,0.375,"hardscrabble"
"a",107384,0,0,"paltry miserable measly"
"a",107648,0.5,0,"anabolic"
"a",107868,0,0,"energy-storing constructive-metabolic"
"a",107984,0,0.75,"katabolic catabolic"
"a",108145,0,0,"energy-releasing destructive-metabolic"
"a",108263,0,0,"anaclinal"
"a",108434,0,0,"cataclinal"
"a",108595,0,0.25,"stigmatic anastigmatic"
"a",108698,0,0,"astigmatic"
"a",109016,0,0,"anticlinal"
"a",109133,0,0,"synclinal"
"a",109261,0,0,"anadromous"
"a",109382,0,0,"catadromous"
"a",109504,0,0,"diadromous"
"a",109633,0,0,"anabatic"
"a",109782,0,0,"katabatic catabatic"
"a",109966,0,0,"anal_retentive anal"
"a",110252,0,0,"oral"
"a",110497,0,0,"linear analogue analog"
"a",110701,0,0,"digital"
"a",110853,0.125,0,"analytical analytic"
"a",111129,0,0,"synthetical synthetic"
"a",111415,0.125,0,"uninflected analytic"
"a",111604,0,0,"isolating"
"a",111856,0,0,"synthetic"
"a",112018,0,0,"polysynthetic agglutinative"
"a",112231,0,0,"analytical analytic"
"a",112628,0,0,"synthetical synthetic"
"a",113015,0.125,0.125,"inflectional"
"a",113245,0,0.25,"derivational"
"a",113476,0,0,"apocarpous"
"a",113663,0,0,"syncarpous"
"a",113818,0.375,0.375,"angry"
"a",114266,0,0.5,"provoked aggravated"
"a",114454,0.25,0.25,"maddened infuriated furious enraged angered"
"a",114797,0.125,0.5,"black"
"a",114921,0.125,0.625,"irascible choleric"
"a",115094,0.125,0.125,"hot_under_the_collar"
"a",115193,0.125,0,"sore mad huffy"
"a",115494,0,0.75,"umbrageous outraged indignant incensed"
"a",115777,0.125,0.5,"ireful irate"
"a",115906,0.125,0,"livid"
"a",116058,0.5,0.25,"smouldering smoldering"
"a",116245,0,0.25,"wrothful wroth wrathful"
"a",116463,0,0.125,"unangry"
"a",116529,0,0.875,"resentful"
"a",116744,0.5,0.25,"bitter acrimonious"
"a",116940,0.375,0.25,"rancorous"
"a",117106,0,0.5,"unresentful"
"a",117235,0,0.75,"unbitter"
"a",117385,0.25,0.5,"sentient animate"
"a",117654,0.125,0.25,"sensate"
"a",117754,0.125,0.5,"insentient insensate"
"a",117961,0.25,0.5,"unfeeling"
"a",118066,0,0,"animate"
"a",118238,0,0.75,"nonliving non-living inanimate"
"a",118451,0,0,"nonconscious"
"a",118567,0.375,0,"animated alive"
"a",118844,0.375,0,"spirited enlivened"
"a",119006,0.375,0.25,"vital lively full_of_life"
"a",119279,0.5,0.125,"revived reanimated"
"a",119409,0.375,0.5,"unanimated"
"a",119533,0.25,0,"lifeless"
"a",119750,0.25,0.5,"wan"
"a",119875,0.5,0,"enlivened"
"a",119993,0.875,0,"perked_up"
"a",120132,0,0.625,"unenlivened"
"a",120252,0,0,"animate"
"a",120411,0,0,"inanimate"
"a",120574,0,0.5,"anonymous anon."
"a",120784,0,0,"unnamed unknown unidentified nameless"
"a",121034,0,0,"onymous"
"a",121183,0,0,"binominal binomial"
"a",121376,0,0,"pseudonymous"
"a",121552,0,0,"antemortem"
"a",121649,0,0.125,"postmortem postmortal"
"a",121865,0,0,"antecedent"
"a",122128,0,0,"prior anterior"
"a",122245,0.375,0.125,"prevenient anticipatory"
"a",122386,0,0.375,"preexisting preexistent pre-existing pre-existent"
"a",122626,0,0,"subsequent"
"a",122844,0,0,"sequent resultant incidental ensuant consequent concomitant attendant accompanying"
"a",123485,0,0,"ulterior posterior later"
"a",123653,0,0,"antrorse"
"a",123804,0,0,"retrorse"
"a",123961,0,0.125,"decurved"
"a",124077,0,0,"aquatic"
"a",124353,0,0,"marine"
"a",124493,0,0,"subaquatic semiaquatic"
"a",124685,0,0,"underwater submersed submerged subaqueous subaquatic"
"a",124918,0,0,"terrestrial"
"a",125068,0,0,"onshore"
"a",125170,0,0,"overland"
"a",125319,0,0,"amphibious"
"a",125553,0,0,"semiaquatic amphibiotic"
"a",125711,0,0.125,"preceding"
"a",125993,0,0.125,"above"
"a",126116,0,0.125,"above-named above-mentioned"
"a",126235,0,0,"foregoing"
"a",126339,0,0,"prefatory prefatorial introductory"
"a",126497,0,0,"precedent"
"a",126702,0,0,"premedical"
"a",126830,0,0,"propaedeutic preparatory preparative"
"a",127137,0,0,"previous old"
"a",127296,0,0,"succeeding"
"a",127543,0,0.375,"consecutive back-to-back"
"a",127661,0,0,"ensuing"
"a",127815,0,0,"undermentioned following"
"a",127948,0,0,"next following"
"a",128137,0,0,"in_line"
"a",128262,0,0,"postmortem"
"a",128467,0.375,0,"precedented"
"a",128572,0,0,"unprecedented"
"a",128733,0,0.625,"unexampled new"
"a",128882,0,0,"prehensile"
"a",129029,0,0.125,"nonprehensile"
"a",129103,0,0.125,"prenatal antepartum antenatal"
"a",129276,0,0,"perinatal"
"a",129467,0,0.125,"postpartum postnatal"
"a",129612,0,0,"preprandial"
"a",129729,0,0,"postprandial"
"a",129878,0,0,"prewar"
"a",130017,0,0,"postwar"
"a",130151,0,0.125,"retrograde"
"a",130281,0,0.125,"anterograde"
"a",130412,0,0,"antemeridian"
"a",130518,0,0,"ante_meridiem a.m."
"a",130596,0,0,"postmeridian"
"a",130701,0,0,"post_meridiem p.m."
"a",130778,0,0,"anterior"
"a",131018,0,0,"frontal"
"a",131176,0,0,"frontal"
"a",131297,0,0,"prefrontal"
"a",131426,0,0,"posterior"
"a",131692,0,0,"hinder hind back"
"a",131863,0,0,"caudal"
"a",132040,0,0,"retral"
"a",132127,0,0,"dorsal"
"a",132385,0,0,"ventral"
"a",132754,0,0,"dorsoventral"
"a",132849,0.5,0,"appealable"
"a",133065,0,0.5,"unappealable"
"a",133259,0,0,"appendaged"
"a",133335,0,0.625,"unappendaged"
"a",133417,0.5,0.25,"appetizing appetising"
"a",133669,0.625,0.25,"savoury savory mouth-watering"
"a",133851,0,0.75,"unappetizing unappetising"
"a",134060,0,0,"approachable"
"a",134251,0.125,0.125,"accessible"
"a",134401,0,0.375,"unapproachable"
"a",134562,0.125,0.625,"standoffish offish"
"a",134701,0,0,"appropriate"
"a",135092,0,0,"befitting"
"a",135193,0,0,"grade-appropriate"
"a",135342,0.5,0,"pat"
"a",135455,0,0,"right proper"
"a",135718,0.125,0.75,"inappropriate"
"a",136081,0,0.625,"unbefitting"
"a",136185,0,0.875,"wrong improper"
"a",136354,0,0,"due"
"a",136589,0,0,"callable"
"a",136727,0,0,"collect cod"
"a",136884,0.125,0.125,"payable collectible collectable"
"a",137120,0,0.25,"overdue delinquent"
"a",137277,0,0,"receivable"
"a",137373,0,0,"out-of-pocket"
"a",137501,0,0,"repayable"
"a",137641,0.125,0.25,"undue"
"a",137725,0.75,0,"due"
"a",137943,0,0.625,"undue"
"a",138169,0.5,0.125,"apropos"
"a",138314,0.375,0.25,"pertinent apt apposite"
"a",138622,0.25,0.75,"malapropos"
"a",138782,0.125,0.875,"out_of_place inapposite"
"a",138912,0.25,0,"a_priori"
"a",139126,0.125,0,"a_posteriori"
"a",139344,0,0.5,"apteral"
"a",139492,0.375,0,"porticoed amphistylar amphiprostyle amphiprostylar"
"a",139702,0.375,0,"pseudoprostyle prostyle"
"a",139870,0,0,"peripteral"
"a",139990,0,0,"monopteral"
"a",140075,0,0,"pseudoperipteral peristylar"
"a",140233,0,0,"arbitrable"
"a",140437,0,0.625,"nonarbitrable"
"a",140542,0.125,0,"columned"
"a",140880,0,0,"amphistylar"
"a",140989,0.375,0.25,"columnar"
"a",141111,0,0,"columnlike columniform columnar"
"a",141316,0.125,0,"colonnaded"
"a",141429,0.125,0,"pillared"
"a",141522,0,0.5,"uncolumned noncolumned"
"a",141647,0,0.25,"astylar"
"a",141746,0.125,0.25,"unpillared"
